0.478899,0.000809181
0.478897,0.00161836
0.478892,0.00242753
0.478886,0.00323669
0.478878,0.00404584
0.478868,0.00485498
0.478856,0.0056641
0.478843,0.00647319
0.478827,0.00728226
0.47881,0.00809131
0.478791,0.00890032
0.478771,0.0097093
0.478748,0.0105182
0.478724,0.0113271
0.478698,0.012136
0.47867,0.0129448
0.478641,0.0137536
0.478609,0.0145623
0.478576,0.015371
0.478541,0.0161796
0.478504,0.0169881
0.478465,0.0177966
0.478425,0.018605
0.478383,0.0194134
0.478339,0.0202216
0.478293,0.0210298
0.478245,0.0218379
0.478196,0.022646
0.478145,0.0234539
0.478092,0.0242618
0.478037,0.0250695
0.47798,0.0258772
0.477922,0.0266848
0.477862,0.0274923
0.4778,0.0282996
0.477736,0.0291069
0.47767,0.0299141
0.477603,0.0307211
0.477534,0.031528
0.477463,0.0323349
0.47739,0.0331415
0.477316,0.0339481
0.477239,0.0347545
0.477161,0.0355609
0.477081,0.036367
0.477,0.0371731
0.476916,0.037979
0.476831,0.0387847
0.476744,0.0395903
0.476655,0.0403958
0.476564,0.0412011
0.476472,0.0420062
0.476377,0.0428112
0.476281,0.0436161
0.476183,0.0444207
0.476084,0.0452252
0.475982,0.0460296
0.475879,0.0468337
0.475774,0.0476377
0.475667,0.0484415
0.475558,0.0492451
0.475448,0.0500485
0.475336,0.0508518
0.475222,0.0516548
0.475106,0.0524577
0.474988,0.0532603
0.474869,0.0540628
0.474748,0.0548651
0.474625,0.0556671
0.4745,0.0564689
0.474373,0.0572706
0.474245,0.058072
0.474115,0.0588732
0.473983,0.0596741
0.473849,0.0604749
0.473714,0.0612754
0.473576,0.0620756
0.473437,0.0628757
0.473296,0.0636755
0.473154,0.0644751
0.473009,0.0652744
0.472863,0.0660735
0.472715,0.0668723
0.472565,0.0676708
0.472413,0.0684692
0.47226,0.0692672
0.472105,0.070065
0.471948,0.0708625
0.471789,0.0716598
0.471628,0.0724568
0.471466,0.0732535
0.471302,0.0740499
0.471136,0.0748461
0.470968,0.0756419
0.470798,0.0764375
0.470627,0.0772328
0.470454,0.0780278
0.470279,0.0788225
0.470102,0.0796169
0.469924,0.080411
0.469744,0.0812048
0.469562,0.0819983
0.469378,0.0827914
0.469192,0.0835843
0.469005,0.0843768
0.468815,0.085169
0.468624,0.0859609
0.468432,0.0867525
0.468237,0.0875437
0.468041,0.0883346
0.467843,0.0891252
0.467643,0.0899154
0.467441,0.0907053
0.467238,0.0914948
0.467032,0.092284
0.466825,0.0930728
0.466616,0.0938613
0.466406,0.0946494
0.466193,0.0954372
0.465979,0.0962245
0.465763,0.0970116
0.465545,0.0977982
0.465326,0.0985845
0.465105,0.0993704
0.464881,0.100156
0.464657,0.100941
0.46443,0.101726
0.464201,0.10251
0.463971,0.103294
0.463739,0.104078
0.463505,0.104861
0.46327,0.105644
0.463032,0.106426
0.462793,0.107208
0.462552,0.107989
0.46231,0.108771
0.462065,0.109551
0.461819,0.110331
0.461571,0.111111
0.461321,0.111891
0.461069,0.11267
0.460816,0.113448
0.460561,0.114226
0.460304,0.115004
0.460045,0.115781
0.459785,0.116558
0.459522,0.117334
0.459258,0.11811
0.458993,0.118886
0.458725,0.119661
0.458456,0.120435
0.458184,0.121209
0.457912,0.121983
0.457637,0.122756
0.45736,0.123529
0.457082,0.124301
0.456802,0.125072
0.45652,0.125844
0.456237,0.126614
0.455951,0.127384
