# step time Ekin Epot Etot T
1300 2.6 547.365 -98.1475 449.218 2.72321
1310 2.62 541.92 -92.6878 449.232 2.69612
1320 2.64 554.583 -105.364 449.219 2.75912
1330 2.66 563.197 -113.979 449.218 2.80197
1340 2.68 560.399 -111.172 449.227 2.78805
1350 2.7 556.637 -107.412 449.224 2.76934
1360 2.72 549.932 -100.719 449.213 2.73598
1370 2.74 536.775 -87.5398 449.235 2.67052
1380 2.76 541.832 -92.611 449.221 2.69568
1390 2.78 553.672 -104.438 449.233 2.75459
1400 2.8 571.718 -122.495 449.223 2.84437
1410 2.82 582.013 -132.785 449.228 2.89559
1420 2.84 582.047 -132.826 449.221 2.89576
1430 2.86 566.03 -116.807 449.223 2.81607
1440 2.88 546.206 -96.9773 449.229 2.71744
1450 2.9 538.365 -89.1449 449.22 2.67843
1460 2.92 548.891 -99.6875 449.204 2.7308
1470 2.94 558.319 -109.101 449.218 2.7777
1480 2.96 552.479 -103.264 449.215 2.74865
1490 2.98 552.211 -102.979 449.232 2.74732
1500 3 569.771 -120.554 449.217 2.83468
1510 3.02 571.257 -122.034 449.223 2.84208
1520 3.04 562.091 -112.855 449.236 2.79647
1530 3.06 561.501 -112.28 449.221 2.79354
1540 3.08 558.731 -109.511 449.221 2.77976
1550 3.1 551.062 -101.823 449.24 2.7416
1560 3.12 562.756 -113.546 449.211 2.79978
1570 3.14 565.705 -116.487 449.218 2.81445
1580 3.16 562.848 -113.618 449.229 2.80024
1590 3.18 565.869 -116.643 449.225 2.81527
1600 3.2 562.693 -113.471 449.222 2.79947
1610 3.22 554.525 -105.281 449.245 2.75883
1620 3.24 562.807 -113.578 449.229 2.80004
1630 3.26 572.56 -123.331 449.229 2.84855
1640 3.28 575.073 -125.847 449.226 2.86106
1650 3.3 565.768 -116.536 449.232 2.81476
1660 3.32 570.164 -120.942 449.222 2.83664
1670 3.34 579.41 -130.185 449.225 2.88264
1680 3.36 572.795 -123.575 449.22 2.84973
1690 3.38 550.169 -100.949 449.22 2.73716
1700 3.4 537.258 -88.0155 449.243 2.67293
1710 3.42 554.788 -105.578 449.211 2.76014
1720 3.44 556.99 -107.775 449.214 2.77109
1730 3.46 542.339 -93.1252 449.214 2.69821
1740 3.48 544.804 -95.5943 449.209 2.71047
1750 3.5 555.607 -106.398 449.21 2.76422
1760 3.52 552.379 -103.155 449.225 2.74816
1770 3.54 551.965 -102.738 449.227 2.74609
1780 3.56 556.638 -107.4 449.237 2.76934
1790 3.58 570.901 -121.675 449.226 2.8403
1800 3.6 575.384 -126.165 449.22 2.86261
1810 3.62 564.145 -114.909 449.236 2.80669
1820 3.64 559.277 -110.042 449.234 2.78247
1830 3.66 561.954 -112.741 449.213 2.79579
1840 3.68 553.944 -104.706 449.238 2.75594
1850 3.7 553.712 -104.504 449.209 2.75479
1860 3.72 540.691 -91.4579 449.233 2.69
1870 3.74 536.267 -87.0488 449.218 2.66799
1880 3.76 535.374 -86.1596 449.214 2.66355
1890 3.78 537.336 -88.1046 449.232 2.67332
1900 3.8 555.413 -106.211 449.201 2.76325
1910 3.82 557.178 -107.95 449.228 2.77203
1920 3.84 554.201 -104.995 449.206 2.75722
1930 3.86 543.844 -94.65 449.194 2.70569
1940 3.88 533.532 -84.3341 449.198 2.65439
1950 3.9 519.527 -70.2899 449.237 2.58471
1960 3.92 539.527 -90.3044 449.223 2.68421
1970 3.94 573.491 -124.286 449.205 2.85319
1980 3.96 573.983 -124.764 449.219 2.85564
1990 3.98 557.706 -108.479 449.227 2.77466
2000 4 539.409 -90.1787 449.231 2.68363
2010 4.02 533.877 -84.6409 449.236 2.65611
2020 4.04 546.459 -97.236 449.223 2.7187
2030 4.06 557.626 -108.4 449.227 2.77426
2040 4.08 565.136 -115.915 449.221 2.81162
2050 4.1 558.911 -109.689 449.222 2.78065
2060 4.12 552.198 -102.984 449.214 2.74725
2070 4.14 543.339 -94.1078 449.231 2.70318
2080 4.16 539.484 -90.2544 449.23 2.684
2090 4.18 542.988 -93.7732 449.215 2.70144
2100 4.2 541.683 -92.4512 449.232 2.69494
2110 4.22 549.354 -100.136 449.218 2.73311
2120 4.24 550.06 -100.851 449.209 2.73662
2130 4.26 534.521 -85.2832 449.238 2.65931
2140 4.28 537.061 -87.8381 449.223 2.67195
2150 4.3 546.429 -97.2006 449.229 2.71855
2160 4.32 555.182 -105.966 449.216 2.7621
2170 4.34 549.616 -100.402 449.214 2.73441
2180 4.36 537.161 -87.945 449.215 2.67244
2190 4.38 532.485 -83.2477 449.237 2.64918
2200 4.4 541.2 -91.9843 449.216 2.69254
2210 4.42 547.64 -98.4212 449.219 2.72458
2220 4.44 549.058 -99.8334 449.224 2.73163
2230 4.46 546.463 -97.2381 449.225 2.71872
2240 4.48 538.892 -89.6845 449.207 2.68105
2250 4.5 526.85 -77.5981 449.252 2.62114
2260 4.52 544.912 -95.7031 449.209 2.71101
2270 4.54 547.735 -98.5172 449.218 2.72505
2280 4.56 543.283 -94.0492 449.234 2.7029
2290 4.58 553.164 -103.934 449.23 2.75206
2300 4.6 566.62 -117.4 449.22 2.819
2310 4.62 565.116 -115.887 449.229 2.81152
2320 4.64 556.572 -107.35 449.222 2.76901
2330 4.66 538.284 -89.0687 449.216 2.67803
2340 4.68 536.103 -86.883 449.22 2.66718
2350 4.7 554.959 -105.734 449.224 2.76099
2360 4.72 569.85 -120.622 449.228 2.83507
2370 4.74 578.696 -129.479 449.217 2.87909
2380 4.76 566.331 -117.118 449.213 2.81757
2390 4.78 542.004 -92.7639 449.24 2.69654
2400 4.8 536.827 -87.6256 449.201 2.67078
2410 4.82 529.016 -79.7706 449.245 2.63192
2420 4.84 547.556 -98.3621 449.194 2.72416
2430 4.86 546.721 -97.5013 449.22 2.72001
2440 4.88 545.569 -96.3332 449.236 2.71427
2450 4.9 561.933 -112.728 449.204 2.79569
2460 4.92 562.047 -112.814 449.232 2.79625
2470 4.94 559.346 -110.129 449.218 2.78282
2480 4.96 557.353 -108.129 449.225 2.7729
2490 4.98 559.292 -110.07 449.223 2.78255
2500 5 552.068 -102.851 449.217 2.74661
2510 5.02 543.604 -94.3879 449.216 2.7045
2520 5.04 543.065 -93.8225 449.243 2.70182
2530 5.06 562.278 -113.074 449.204 2.7974
2540 5.08 566.856 -117.62 449.236 2.82018
2550 5.1 572.114 -122.893 449.22 2.84634
2560 5.12 564.413 -115.199 449.214 2.80802
2570 5.14 549.113 -99.8687 449.244 2.7319
2580 5.16 552.282 -103.072 449.21 2.74767
2590 5.18 550.942 -101.717 449.224 2.741
2600 5.2 553.757 -104.534 449.223 2.75501
2610 5.22 557.948 -108.717 449.231 2.77586
2620 5.24 564.487 -115.27 449.217 2.80839
2630 5.26 558.837 -109.603 449.234 2.78028
2640 5.28 559.165 -109.935 449.23 2.78192
2650 5.3 562.982 -113.761 449.221 2.80091
2660 5.32 562.172 -112.937 449.235 2.79688
2670 5.34 568.314 -119.086 449.229 2.82743
2680 5.36 573.072 -123.843 449.23 2.85111
2690 5.38 573.172 -123.95 449.222 2.8516
2700 5.4 564.996 -115.769 449.227 2.81092
2710 5.42 552.96 -103.74 449.22 2.75104
2720 5.44 540.963 -91.7256 449.237 2.69136
2730 5.46 549.188 -99.9702 449.218 2.73228
2740 5.48 552.465 -103.251 449.214 2.74858
2750 5.5 559.467 -110.27 449.197 2.78342
2760 5.52 559.347 -110.118 449.229 2.78282
2770 5.54 560.038 -110.825 449.213 2.78626
2780 5.56 554.302 -105.077 449.225 2.75772
2790 5.58 549.676 -100.452 449.224 2.73471
2800 5.6 550.956 -101.733 449.223 2.74107
2810 5.62 556.308 -107.084 449.224 2.7677
2820 5.64 561.317 -112.091 449.226 2.79262
2830 5.66 563.832 -114.612 449.22 2.80514
2840 5.68 560.077 -110.845 449.232 2.78645
2850 5.7 560.237 -111.016 449.22 2.78725
2860 5.72 553.916 -104.708 449.208 2.7558
2870 5.74 533.702 -84.4583 449.244 2.65523
2880 5.76 541.987 -92.7889 449.198 2.69645
2890 5.78 544.893 -95.6728 449.22 2.71091
2900 5.8 545.047 -95.8182 449.228 2.71167
2910 5.82 551.296 -102.084 449.212 2.74277
2920 5.84 550.537 -101.305 449.232 2.73899
