# step time Ekin Epot Etot T
0 0 473 -57.4971 415.503 2.365
10 0.02 521.481 -58.617 462.864 2.6074
20 0.04 518.49 -61.7223 456.768 2.59245
30 0.06 479.74 -66.7946 412.946 2.3987
40 0.08 512.163 -73.5491 438.614 2.56082
50 0.1 516.642 -77.7054 438.936 2.58321
60 0.12 476.736 -64.3397 412.397 2.38368
70 0.14 522.354 -61.0817 461.272 2.61177
80 0.16 520.498 -72.352 448.146 2.60249
90 0.18 467.563 -68.4804 399.083 2.33782
100 0.2 523.158 -71.9288 451.23 2.61579
110 0.22 522.467 -79.1198 443.347 2.61233
120 0.24 469.207 -78.4353 390.772 2.34604
130 0.26 511.986 -72.1833 439.802 2.55993
140 0.28 529.27 -66.8095 462.46 2.64635
150 0.3 490.617 -84.1396 406.478 2.45309
160 0.32 488.424 -91.8289 396.596 2.44212
170 0.34 521.354 -88.6285 432.725 2.60677
180 0.36 510.757 -96.3649 414.392 2.55378
190 0.38 487.737 -108.767 378.97 2.43869
200 0.4 507.879 -115.831 392.049 2.5394
210 0.42 508.591 -112.627 395.964 2.54296
220 0.44 495.044 -104.764 390.28 2.47522
230 0.46 513.244 -105.771 407.472 2.56622
240 0.48 507.755 -112.778 394.977 2.53878
250 0.5 481.06 -98.7616 382.298 2.4053
260 0.52 526.406 -95.8392 430.567 2.63203
270 0.54 511.544 -102.745 408.799 2.55772
280 0.56 467.452 -88.8678 378.584 2.33726
290 0.58 526.302 -75.0328 451.269 2.63151
300 0.6 533.674 -85.5818 448.092 2.66837
310 0.62 468.858 -105.415 363.443 2.34429
320 0.64 497.283 -110.644 386.638 2.48641
330 0.66 533.986 -107.131 426.855 2.66993
340 0.68 490.857 -107.338 383.518 2.45428
350 0.7 498.656 -124.928 373.728 2.49328
360 0.72 506.942 -121.371 385.571 2.53471
370 0.74 501.866 -110.649 391.217 2.50933
380 0.76 503.113 -98.0543 405.059 2.51557
390 0.78 516.644 -102.385 414.258 2.58322
400 0.8 495.404 -106.596 388.807 2.47702
410 0.82 493.234 -99.133 394.101 2.46617
420 0.84 524.922 -97.6313 427.291 2.62461
430 0.86 504.741 -109.379 395.362 2.52371
440 0.88 485.379 -119.428 365.951 2.4269
450 0.9 512.785 -120.716 392.069 2.56393
460 0.92 507.815 -113.601 394.214 2.53907
470 0.94 484.809 -92.4553 392.354 2.42405
