# it time Tinst Tset
1700 3.4 1.98204 2.09958
1710 3.42 2.23638 2.09958
1720 3.44 2.09474 2.09462
1730 3.46 1.95738 2.09462
1740 3.48 2.17254 2.08966
1750 3.5 2.12572 2.08966
1760 3.52 1.96242 2.08471
1770 3.54 2.08674 2.08471
1780 3.56 2.14876 2.07975
1790 3.58 1.97471 2.07975
1800 3.6 2.0893 2.07479
1810 3.62 2.19145 2.07479
1820 3.64 1.9405 2.06983
1830 3.66 2.01749 2.06983
1840 3.68 2.16838 2.06487
1850 3.7 2.05512 2.06487
1860 3.72 1.94797 2.05992
1870 3.74 2.09809 2.05992
1880 3.76 2.13606 2.05496
1890 3.78 1.93957 2.05496
1900 3.8 2.01487 2.05
1910 3.82 2.13838 2.05
1920 3.84 2.00362 2.04504
1930 3.86 1.98078 2.04504
1940 3.88 2.09078 2.04008
1950 3.9 2.00398 2.04008
1960 3.92 2.0113 2.03513
1970 3.94 2.07512 2.03513
1980 3.96 2.00908 2.03017
1990 3.98 2.00469 2.03017
2000 4 2.04946 2.02521
2010 4.02 1.96349 2.02521
2020 4.04 1.99818 2.02025
2030 4.06 2.07322 2.02025
2040 4.08 1.97337 2.01529
2050 4.1 1.99335 2.01529
2060 4.12 2.05555 2.01034
2070 4.14 1.9671 2.01034
2080 4.16 2.00001 2.00538
2090 4.18 2.01355 2.00538
2100 4.2 1.95415 2.00042
2110 4.22 1.97466 2.00042
2120 4.24 2.02748 1.99546
2130 4.26 1.98414 1.99546
2140 4.28 1.94681 1.9905
2150 4.3 2.05339 1.9905
2160 4.32 1.96161 1.98555
2170 4.34 1.94327 1.98555
2180 4.36 1.98846 1.98059
2190 4.38 1.9141 1.98059
2200 4.4 2.01975 1.97563
2210 4.42 2.02559 1.97563
2220 4.44 1.85976 1.97067
2230 4.46 1.95304 1.97067
2240 4.48 2.08493 1.96571
2250 4.5 1.90595 1.96571
2260 4.52 1.85342 1.96076
2270 4.54 2.017 1.96076
2280 4.56 1.99444 1.9558
2290 4.58 1.92506 1.9558
2300 4.6 1.90178 1.95084
2310 4.62 1.94024 1.95084
2320 4.64 1.95674 1.94588
2330 4.66 1.98266 1.94588
2340 4.68 1.91228 1.94092
2350 4.7 1.8753 1.94092
2360 4.72 1.95385 1.93597
2370 4.74 1.96004 1.93597
2380 4.76 1.92092 1.93101
2390 4.78 1.88192 1.93101
2400 4.8 1.9341 1.92605
2410 4.82 1.94335 1.92605
2420 4.84 1.89298 1.92109
2430 4.86 1.90486 1.92109
2440 4.88 1.91317 1.91613
2450 4.9 1.87329 1.91613
2460 4.92 1.93006 1.91118
2470 4.94 1.96038 1.91118
2480 4.96 1.85096 1.90622
2490 4.98 1.86973 1.90622
2500 5 1.9294 1.90126
2510 5.02 1.86292 1.90126
2520 5.04 1.87976 1.8963
2530 5.06 1.92841 1.8963
2540 5.08 1.88579 1.89134
2550 5.1 1.85212 1.89134
2560 5.12 1.91391 1.88639
2570 5.14 1.85917 1.88639
2580 5.16 1.83751 1.88143
2590 5.18 1.92949 1.88143
2600 5.2 1.88143 1.87647
2610 5.22 1.79341 1.87647
2620 5.24 1.87972 1.87151
2630 5.26 1.92435 1.87151
2640 5.28 1.82114 1.86655
2650 5.3 1.78792 1.86655
2660 5.32 1.92627 1.8616
2670 5.34 1.91212 1.8616
2680 5.36 1.7722 1.85664
2690 5.38 1.77728 1.85664
2700 5.4 1.92433 1.85168
2710 5.42 1.94574 1.85168
2720 5.44 1.75752 1.84672
2730 5.46 1.71996 1.84672
2740 5.48 1.91632 1.84176
2750 5.5 1.93741 1.84176
2760 5.52 1.73925 1.83681
2770 5.54 1.79868 1.83681
2780 5.56 1.92199 1.83185
2790 5.58 1.76813 1.83185
2800 5.6 1.71669 1.82689
2810 5.62 1.90006 1.82689
2820 5.64 1.90746 1.82193
2830 5.66 1.72349 1.82193
2840 5.68 1.75665 1.81697
2850 5.7 1.90843 1.81697
2860 5.72 1.82474 1.81202
2870 5.74 1.70239 1.81202
2880 5.76 1.8058 1.80706
2890 5.78 1.87748 1.80706
2900 5.8 1.76643 1.8021
2910 5.82 1.75581 1.8021
2920 5.84 1.82891 1.79714
2930 5.86 1.8194 1.79714
2940 5.88 1.72512 1.79218
2950 5.9 1.73322 1.79218
2960 5.92 1.86384 1.78723
2970 5.94 1.80869 1.78723
2980 5.96 1.70444 1.78227
2990 5.98 1.75354 1.78227
3000 6 1.82342 1.77731
3010 6.02 1.75139 1.77731
3020 6.04 1.76825 1.77235
3030 6.06 1.79933 1.77235
3040 6.08 1.74582 1.76739
3050 6.1 1.74131 1.76739
3060 6.12 1.76339 1.76244
3070 6.14 1.75644 1.76244
3080 6.16 1.73361 1.75748
3090 6.18 1.74642 1.75748
3100 6.2 1.77327 1.75252
3110 6.22 1.73137 1.75252
3120 6.24 1.70555 1.74756
3130 6.26 1.76399 1.74756
3140 6.28 1.76564 1.74261
3150 6.3 1.71776 1.74261
3160 6.32 1.72262 1.73765
3170 6.34 1.72158 1.73765
3180 6.36 1.72113 1.73269
3190 6.38 1.75152 1.73269
3200 6.4 1.72801 1.72773
3210 6.42 1.66988 1.72773
3220 6.44 1.70493 1.72277
3230 6.46 1.7688 1.72277
3240 6.48 1.73995 1.71782
3250 6.5 1.69417 1.71782
3260 6.52 1.66129 1.71286
3270 6.54 1.68939 1.71286
3280 6.56 1.75338 1.7079
3290 6.58 1.70701 1.7079
3300 6.6 1.66121 1.70294
3310 6.62 1.70264 1.70294
3320 6.64 1.70529 1.69798
3330 6.66 1.64792 1.69798
3340 6.68 1.70506 1.69303
3350 6.7 1.72661 1.69303
3360 6.72 1.67364 1.68807
3370 6.74 1.62444 1.68807
3380 6.76 1.66527 1.68311
3390 6.78 1.73896 1.68311
3400 6.8 1.69281 1.67815
3410 6.82 1.61414 1.67815
3420 6.84 1.66851 1.67319
3430 6.86 1.69516 1.67319
3440 6.88 1.65883 1.66824
3450 6.9 1.64319 1.66824
3460 6.92 1.63635 1.66328
3470 6.94 1.66947 1.66328
3480 6.96 1.68222 1.65832
3490 6.98 1.61777 1.65832
3500 7 1.63394 1.65336
3510 7.02 1.68974 1.65336
3520 7.04 1.65382 1.6484
3530 7.06 1.60094 1.6484
3540 7.08 1.62767 1.64345
3550 7.1 1.65252 1.64345
3560 7.12 1.63277 1.63849
3570 7.14 1.6115 1.63849
3580 7.16 1.64175 1.63353
3590 7.18 1.66228 1.63353
3600 7.2 1.59302 1.62857
3610 7.22 1.58363 1.62857
3620 7.24 1.65865 1.62361
3630 7.26 1.64638 1.62361
3640 7.28 1.55385 1.61866
3650 7.3 1.57843 1.61866
3660 7.32 1.71517 1.6137
3670 7.34 1.61682 1.6137
3680 7.36 1.48013 1.60874
3690 7.38 1.58091 1.60874
3700 7.4 1.71948 1.60378
3710 7.42 1.59899 1.60378
3720 7.44 1.50234 1.59882
3730 7.46 1.63457 1.59882
3740 7.48 1.67105 1.59387
3750 7.5 1.51953 1.59387
3760 7.52 1.47795 1.58891
3770 7.54 1.60099 1.58891
3780 7.56 1.72335 1.58395
3790 7.58 1.578 1.58395
