# step time x y
1950 3.9 16.4622 9.16195
1960 3.92 16.4943 9.18309
1970 3.94 16.5285 9.20469
1980 3.96 16.5639 9.2263
1990 3.98 16.5993 9.24777
2000 4 16.6335 9.26934
2010 4.02 16.6651 9.29164
2020 4.04 16.6925 9.31559
2030 4.06 16.7149 9.34193
2040 4.08 16.7324 9.37078
2050 4.1 16.7458 9.40165
2060 4.12 16.7563 9.43389
2070 4.14 16.7646 9.46706
2080 4.16 16.7711 9.50112
2090 4.18 16.7758 9.53615
2100 4.2 16.779 9.57204
2110 4.22 16.7812 9.60825
2120 4.24 16.783 9.64406
2130 4.26 16.7844 9.67896
2140 4.28 16.7858 9.71274
2150 4.3 16.787 9.74533
2160 4.32 16.7884 9.77664
2170 4.34 16.7898 9.80662
2180 4.36 16.7914 9.83522
2190 4.38 16.7931 9.86241
2200 4.4 16.795 9.88817
2210 4.42 16.7969 9.9125
2220 4.44 16.7988 9.9354
2230 4.46 16.8006 9.95687
2240 4.48 16.8022 9.97692
2250 4.5 16.8036 9.99557
2260 4.52 16.8047 10.0128
2270 4.54 16.8056 10.0286
2280 4.56 16.806 10.0431
2290 4.58 16.8063 10.0562
2300 4.6 16.8067 10.0683
2310 4.62 16.8083 10.0802
2320 4.64 16.8132 10.0935
2330 4.66 16.8243 10.111
2340 4.68 16.8441 10.1348
2350 4.7 16.8719 10.165
2360 4.72 16.9048 10.199
2370 4.74 16.9399 10.2342
2380 4.76 16.9756 10.2691
2390 4.78 17.0111 10.3029
2400 4.8 17.0462 10.3353
2410 4.82 17.0807 10.3664
2420 4.84 17.1147 10.3962
2430 4.86 17.1482 10.4248
2440 4.88 17.1813 10.4525
2450 4.9 17.2141 10.4792
2460 4.92 17.2466 10.5053
2470 4.94 17.2788 10.5307
2480 4.96 17.3109 10.5555
2490 4.98 17.3429 10.5798
2500 5 17.3747 10.6035
2510 5.02 17.4064 10.6266
2520 5.04 17.4381 10.6491
2530 5.06 17.4696 10.6709
2540 5.08 17.5011 10.692
2550 5.1 17.5326 10.7124
2560 5.12 17.564 10.732
2570 5.14 17.5954 10.751
2580 5.16 17.627 10.7693
2590 5.18 17.6586 10.7871
2600 5.2 17.6907 10.8046
2610 5.22 17.7232 10.8219
2620 5.24 17.7563 10.8393
2630 5.26 17.79 10.8569
2640 5.28 17.8236 10.8745
2650 5.3 17.8552 10.8912
2660 5.32 17.881 10.9053
2670 5.34 17.8961 10.9144
2680 5.36 17.8992 10.9179
2690 5.38 17.8942 10.9174
2700 5.4 17.887 10.9157
2710 5.42 17.882 10.9144
2720 5.44 17.881 10.9141
2730 5.46 17.8839 10.9147
2740 5.48 17.8898 10.9161
2750 5.5 17.8973 10.918
2760 5.52 17.9054 10.9205
2770 5.54 17.9137 10.9235
2780 5.56 17.9218 10.9271
2790 5.58 17.9297 10.9314
2800 5.6 17.9376 10.9363
2810 5.62 17.9453 10.9419
2820 5.64 17.9531 10.9481
2830 5.66 17.9611 10.9549
2840 5.68 17.9692 10.9623
2850 5.7 17.9775 10.9703
2860 5.72 17.9863 10.9788
2870 5.74 17.9954 10.9879
2880 5.76 18.0051 10.9976
2890 5.78 18.0152 11.0079
2900 5.8 18.0258 11.0189
2910 5.82 18.0369 11.0306
2920 5.84 18.048 11.043
2930 5.86 18.0588 11.0564
2940 5.88 18.0682 11.0706
2950 5.9 18.0749 11.0852
2960 5.92 18.0775 11.0983
2970 5.94 18.0754 11.1055
2980 5.96 18.0691 11.1015
2990 5.98 18.0588 11.0851
3000 6 18.0454 11.061
3010 6.02 18.0303 11.034
3020 6.04 18.015 11.0071
3030 6.06 18.0002 10.9814
3040 6.08 17.9862 10.9569
3050 6.1 17.9731 10.9338
3060 6.12 17.9607 10.9119
3070 6.14 17.9489 10.8912
3080 6.16 17.9375 10.8714
3090 6.18 17.9264 10.8527
3100 6.2 17.9154 10.835
3110 6.22 17.9043 10.8183
3120 6.24 17.893 10.8025
3130 6.26 17.8812 10.7878
3140 6.28 17.8689 10.7741
3150 6.3 17.8559 10.7614
3160 6.32 17.8421 10.7496
3170 6.34 17.8283 10.739
3180 6.36 17.8167 10.7296
3190 6.38 17.8136 10.7229
3200 6.4 17.8292 10.7212
3210 6.42 17.8661 10.7249
3220 6.44 17.9158 10.7294
3230 6.46 17.9705 10.7289
3240 6.48 18.027 10.7197
3250 6.5 18.0841 10.7013
3260 6.52 18.1412 10.6763
3270 6.54 18.1977 10.6476
3280 6.56 18.2529 10.6172
3290 6.58 18.3063 10.586
3300 6.6 18.358 10.5542
3310 6.62 18.408 10.522
3320 6.64 18.4568 10.4894
3330 6.66 18.5045 10.4564
3340 6.68 18.5517 10.4234
3350 6.7 18.5984 10.3904
3360 6.72 18.6451 10.3577
3370 6.74 18.6918 10.3252
3380 6.76 18.7387 10.2932
3390 6.78 18.7859 10.2616
3400 6.8 18.8335 10.2306
3410 6.82 18.8814 10.2001
3420 6.84 18.9297 10.1701
3430 6.86 18.9784 10.1406
3440 6.88 19.0275 10.1116
3450 6.9 19.0771 10.0831
3460 6.92 19.1269 10.0551
3470 6.94 19.1772 10.0275
3480 6.96 19.2278 10.0003
3490 6.98 19.2788 9.97361
3500 7 19.3301 9.94731
3510 7.02 19.3818 9.92147
3520 7.04 19.4337 9.8961
3530 7.06 19.4859 9.87115
3540 7.08 19.5382 9.8465
3550 7.1 19.5906 9.82206
3560 7.12 19.643 9.79777
3570 7.14 19.6956 9.77371
3580 7.16 19.7483 9.74991
3590 7.18 19.8011 9.72641
3600 7.2 19.8539 9.70316
3610 7.22 19.9067 9.68022
3620 7.24 19.9588 9.65792
3630 7.26 20.0085 9.63732
3640 7.28 20.0524 9.62064
3650 7.3 20.0858 9.61067
3660 7.32 20.1069 9.60821
3670 7.34 20.119 9.61096
3680 7.36 20.1268 9.61601
3690 7.38 20.1334 9.62163
3700 7.4 20.1401 9.62707
3710 7.42 20.1474 9.63211
3720 7.44 20.1553 9.63668
3730 7.46 20.1638 9.6408
3740 7.48 20.1728 9.64453
3750 7.5 20.1823 9.64791
3760 7.52 20.192 9.65097
3770 7.54 20.2021 9.65373
3780 7.56 20.2125 9.6562
3790 7.58 20.2232 9.65836
3800 7.6 20.2343 9.66019
3810 7.62 20.246 9.66166
3820 7.64 20.2582 9.66273
3830 7.66 20.2711 9.66338
3840 7.68 20.2846 9.66357
3850 7.7 20.2989 9.66326
3860 7.72 20.314 9.66243
3870 7.74 20.3298 9.66108
3880 7.76 20.3462 9.65923
3890 7.78 20.3631 9.657
3900 7.8 20.3795 9.65491
3910 7.82 20.3923 9.65508
3920 7.84 20.3918 9.66387
3930 7.86 20.3666 9.68905
3940 7.88 20.324 9.72628
3950 7.9 20.2938 9.76125
3960 7.92 20.3159 9.78024
3970 7.94 20.374 9.78908
3980 7.96 20.4372 9.7966
3990 7.98 20.4958 9.80455
4000 8 20.5408 9.81033
4010 8.02 20.5513 9.80612
4020 8.04 20.5235 9.79097
4030 8.06 20.4829 9.77171
4040 8.08 20.4414 9.75099
4050 8.1 20.4005 9.72924
4060 8.12 20.3603 9.70642
4070 8.14 20.3203 9.68245
4080 8.16 20.2802 9.65727
4090 8.18 20.2399 9.63096
4100 8.2 20.1993 9.60388
4110 8.22 20.1586 9.57698
4120 8.24 20.1184 9.55216
4130 8.26 20.0796 9.53255
4140 8.28 20.0435 9.52144
4150 8.3 20.0103 9.51978
4160 8.32 19.9794 9.52509
4170 8.34 19.9497 9.53369
4180 8.36 19.9207 9.54293
4190 8.38 19.8921 9.55142
4200 8.4 19.8638 9.55864
4210 8.42 19.8359 9.5645
4220 8.44 19.8083 9.56906
4230 8.46 19.781 9.5725
4240 8.48 19.7541 9.57496
4250 8.5 19.7277 9.57657
4260 8.52 19.7017 9.57744
4270 8.54 19.6762 9.57766
4280 8.56 19.6513 9.5773
4290 8.58 19.6271 9.5764
4300 8.6 19.6035 9.575
4310 8.62 19.5806 9.5731
4320 8.64 19.5585 9.57071
4330 8.66 19.5372 9.56781
4340 8.68 19.5166 9.5644
4350 8.7 19.4969 9.56049
4360 8.72 19.478 9.55608
4370 8.74 19.4599 9.55123
4380 8.76 19.4424 9.546
4390 8.78 19.4255 9.54054
4400 8.8 19.4086 9.53508
4410 8.82 19.3914 9.52989
4420 8.84 19.3731 9.52523
4430 8.86 19.3532 9.52123
4440 8.88 19.3314 9.51778
4450 8.9 19.3075 9.51447
4460 8.92 19.2819 9.51066
4470 8.94 19.255 9.50555
4480 8.96 19.2272 9.49816
4490 8.98 19.1993 9.48762
4500 9 19.1727 9.47348
4510 9.02 19.1503 9.4564
4520 9.04 19.1366 9.43846
4530 9.06 19.1364 9.42237
4540 9.08 19.15 9.40949
4550 9.1 19.1732 9.39897
4560 9.12 19.2009 9.389
4570 9.14 19.2299 9.37848
4580 9.16 19.2592 9.36725
4590 9.18 19.2881 9.35559
4600 9.2 19.3164 9.34376
4610 9.22 19.3443 9.33195
4620 9.24 19.3715 9.32028
4630 9.26 19.3981 9.3088
4640 9.28 19.4242 9.29763
4650 9.3 19.4498 9.28691
4660 9.32 19.4748 9.27696
4670 9.34 19.4992 9.26834
4680 9.36 19.5225 9.26175
4690 9.38 19.544 9.25752
4700 9.4 19.561 9.25259
4710 9.42 19.5645 9.2336
4720 9.44 19.5456 9.18572
4730 9.46 19.5101 9.12356
4740 9.48 19.4664 9.0669
4750 9.5 19.4208 9.01994
4760 9.52 19.3851 8.97821
4770 9.54 19.3726 8.93677
4780 9.56 19.3815 8.89408
4790 9.58 19.4 8.85076
4800 9.6 19.421 8.8072
4810 9.62 19.4421 8.76333
4820 9.64 19.463 8.71892
4830 9.66 19.4838 8.67374
4840 9.68 19.5048 8.62758
4850 9.7 19.5261 8.58029
4860 9.72 19.548 8.53176
4870 9.74 19.5708 8.48191
4880 9.76 19.5944 8.43075
4890 9.78 19.6191 8.37832
4900 9.8 19.6445 8.32472
4910 9.82 19.6703 8.27007
4920 9.84 19.696 8.21453
4930 9.86 19.7214 8.15864
4940 9.88 19.7475 8.10379
4950 9.9 19.7761 8.05232
4960 9.92 19.8092 8.00627
4970 9.94 19.8474 7.96582
4980 9.96 19.8897 7.92943
4990 9.98 19.9345 7.89525
5000 10 19.9804 7.86206
5010 10.02 20.0266 7.82922
5020 10.04 20.0725 7.79642
5030 10.06 20.118 7.76353
5040 10.08 20.1629 7.73051
5050 10.1 20.2073 7.69736
5060 10.12 20.2512 7.66412
5070 10.14 20.2946 7.63081
5080 10.16 20.3378 7.5975
5090 10.18 20.3807 7.56423
5100 10.2 20.4236 7.53104
5110 10.22 20.4665 7.49794
5120 10.24 20.5095 7.46494
5130 10.26 20.5529 7.43204
5140 10.28 20.5968 7.39922
5150 10.3 20.6413 7.36645
5160 10.32 20.6865 7.33372
5170 10.34 20.7324 7.30102
5180 10.36 20.7788 7.26837
5190 10.38 20.8249 7.23584
5200 10.4 20.869 7.20356
5210 10.42 20.9078 7.17175
5220 10.44 20.9372 7.14048
5230 10.46 20.9549 7.10955
5240 10.48 20.9618 7.07846
5250 10.5 20.9603 7.04675
5260 10.52 20.9501 7.01399
5270 10.54 20.9292 6.97961
5280 10.56 20.8964 6.94299
5290 10.58 20.8544 6.90408
5300 10.6 20.8079 6.86337
5310 10.62 20.7603 6.82145
5320 10.64 20.7132 6.7787
5330 10.66 20.6672 6.73531
5340 10.68 20.6225 6.69136
