# step time Ekin Epot Etot T
4920 9.84 504.97 -97.3815 407.588 2.52485
4930 9.86 504.207 -110.591 393.616 2.52103
4940 9.88 504.103 -124.814 379.289 2.52051
4950 9.9 503.688 -131.987 371.702 2.51844
4960 9.92 503.863 -122.096 381.766 2.51931
4970 9.94 504.65 -102.428 402.223 2.52325
4980 9.96 504.793 -97.0178 407.775 2.52397
4990 9.98 503.518 -110.558 392.96 2.51759
5000 10 504.194 -109.725 394.469 2.52097
5010 10.02 504.17 -107.055 397.114 2.52085
5020 10.04 504.299 -106.371 397.928 2.5215
5030 10.06 503.798 -108.797 395.001 2.51899
5040 10.08 504.254 -103.84 400.414 2.52127
5050 10.1 504.346 -100.905 403.441 2.52173
5060 10.12 504.351 -107.186 397.165 2.52176
5070 10.14 503.946 -115.668 388.278 2.51973
5080 10.16 503.883 -116.126 387.757 2.51942
5090 10.18 503.521 -99.9611 403.56 2.5176
5100 10.2 505.389 -67.9755 437.413 2.52694
5110 10.22 504.53 -71.6409 432.889 2.52265
5120 10.24 504.037 -91.8579 412.179 2.52019
5130 10.26 504.044 -106.62 397.423 2.52022
5140 10.28 504.234 -117.009 387.226 2.52117
5150 10.3 503.629 -122.13 381.499 2.51815
5160 10.32 504.687 -111.199 393.488 2.52344
5170 10.34 503.678 -103.276 400.402 2.51839
5180 10.36 505.752 -88.8612 416.891 2.52876
5190 10.38 504.756 -96.5012 408.255 2.52378
5200 10.4 504.002 -107.404 396.598 2.52001
5210 10.42 504.285 -110.778 393.507 2.52142
5220 10.44 504.058 -110.972 393.086 2.52029
5230 10.46 504.119 -102.762 401.357 2.5206
5240 10.48 504.674 -99.3948 405.279 2.52337
5250 10.5 503.934 -103.946 399.988 2.51967
5260 10.52 504.637 -102.08 402.557 2.52318
5270 10.54 504.014 -106.752 397.262 2.52007
5280 10.56 504.284 -107.295 396.99 2.52142
5290 10.58 504.148 -109.992 394.156 2.52074
5300 10.6 504.242 -111.301 392.941 2.52121
5310 10.62 504.05 -112.377 391.673 2.52025
5320 10.64 504.24 -113.831 390.409 2.5212
5330 10.66 504.214 -115.826 388.388 2.52107
5340 10.68 504.017 -119.071 384.946 2.52009
5350 10.7 503.793 -115.217 388.576 2.51897
5360 10.72 505.03 -103.783 401.247 2.52515
5370 10.74 503.932 -104.114 399.818 2.51966
5380 10.76 504.437 -102.325 402.112 2.52219
5390 10.78 504.028 -105.414 398.614 2.52014
5400 10.8 504.327 -103.545 400.782 2.52164
5410 10.82 503.847 -110.242 393.605 2.51923
5420 10.84 504.877 -114.006 390.871 2.52438
5430 10.86 503.622 -121.409 382.213 2.51811
5440 10.88 503.875 -113.174 390.701 2.51937
5450 10.9 505.446 -101.375 404.072 2.52723
5460 10.92 504.175 -109.912 394.264 2.52088
5470 10.94 503.928 -116.574 387.354 2.51964
5480 10.96 504.156 -114.855 389.3 2.52078
5490 10.98 504.255 -110.15 394.104 2.52127
5500 11 504.155 -106.436 397.719 2.52077
5510 11.02 504.439 -102.519 401.92 2.52219
5520 11.04 503.835 -103.482 400.353 2.51918
5530 11.06 504.511 -106.07 398.441 2.52255
5540 11.08 504.681 -105.657 399.023 2.5234
5550 11.1 502.47 -113.704 388.766 2.51235
5560 11.12 504.196 -106.34 397.855 2.52098
5570 11.14 504.011 -101.384 402.627 2.52006
5580 11.16 504.905 -99.8483 405.057 2.52452
5590 11.18 503.948 -110.588 393.36 2.51974
5600 11.2 504 -113.734 390.266 2.52
5610 11.22 504.426 -108.926 395.5 2.52213
5620 11.24 504.112 -111.296 392.816 2.52056
5630 11.26 503.9 -112.144 391.756 2.5195
5640 11.28 504.667 -107.512 397.155 2.52334
5650 11.3 504.193 -114.754 389.439 2.52096
5660 11.32 504.02 -122.984 381.036 2.5201
5670 11.34 503.847 -122.335 381.511 2.51923
5680 11.36 504.12 -109.169 394.951 2.5206
5690 11.38 504.566 -102.64 401.926 2.52283
5700 11.4 504.232 -108.518 395.715 2.52116
