# v_center vhist f_exact(T=2.52101)
0.0374240594283 0.0127990903876 0.0148407539023
0.112272178285 0.0394460137104 0.0444234331976
0.187120297141 0.0612775839272 0.0737107230291
0.261968415998 0.0943646727537 0.102509333627
0.336816534854 0.127710254462 0.130631370852
0.411664653711 0.150243448214 0.157896377293
0.486512772567 0.171860838615 0.18413325902
0.561360891424 0.18538370907 0.209182069228
0.63620901028 0.205051324594 0.232895622838
0.711057129137 0.225265467923 0.25514091941
0.785905247993 0.258101449379 0.275800355405
0.86075336685 0.259216661525 0.294772710872
0.935601485706 0.284135375298 0.311973899863
1.01044960456 0.319002372251 0.327337478246
1.08529772342 0.350907779334 0.340814906982
1.16014584228 0.354947653795 0.35237557327
1.23499396113 0.373921031294 0.362006576119
1.30984207999 0.385117465817 0.369712286828
1.38469019885 0.385686150156 0.375513698464
1.4595383177 0.392466049161 0.379447581601
1.53438643656 0.385826474863 0.381565466363
1.60923455542 0.388071670176 0.381932473046
1.68408267427 0.395294699835 0.380626015347
1.75893079313 0.407281384024 0.377734401405
1.83377891198 0.392613759379 0.373355358526
1.90862703084 0.384127807356 0.367594507549
1.9834751497 0.379600489176 0.360563812459
2.05832326855 0.377296209775 0.352380029938
2.13317138741 0.376860464632 0.343163182274
2.20801950627 0.345715765172 0.333035075321
2.28286762512 0.318537085064 0.322117881231
2.35771574398 0.303935930017 0.310532803352
2.43256386284 0.301816288389 0.298398838248
2.50741198169 0.292266822797 0.285831647162
2.58226010055 0.267924178875 0.272942546557
2.65710821941 0.26385476237 0.259837624699
2.73195633826 0.242687888134 0.24661698859
2.80680445712 0.228219672283 0.233374143035
2.88165257598 0.222636226044 0.220195501225
2.95650069483 0.207791349137 0.207160024045
3.03134881369 0.19327143471 0.194338983319
3.10619693255 0.187636289894 0.181795842501
3.1810450514 0.172030705365 0.169586246838
3.25589317026 0.157481248895 0.157758113843
3.33074128911 0.152038127362 0.146351814032
3.40558940797 0.145346854488 0.135400431186
3.48043752683 0.13509576536 0.124930091071
3.55528564568 0.123020455041 0.11496034737
3.63013376454 0.107023438434 0.105504613694
3.7049818834 0.0964916998925 0.0965706308382
3.77983000225 0.0904208099338 0.0881609588857
3.85467812111 0.0792908450093 0.0802734844285
3.92952623997 0.0710043017809 0.0729019338739
4.00437435882 0.0651254351054 0.0660363846665
4.07922247768 0.0576956111413 0.0596637671487
4.15407059654 0.0464622490642 0.0537683507251
4.22891871539 0.0416912090236 0.0483322089576
4.30376683425 0.0368832414285 0.0433356591708
4.37861495311 0.0364253397528 0.0387576730762
4.45346307196 0.033050161272 0.0345762558116
4.52831119082 0.0293057072463 0.0307687916269
4.60315930968 0.0255907952643 0.0273123552109
4.67800742853 0.0235967073216 0.0241839883509
4.75285554739 0.0217724861296 0.0213609422287
4.82770366625 0.0190620036297 0.0188208861883
4.9025517851 0.0155760424855 0.0165420842611
4.97739990396 0.011454927404 0.0145035410996
5.05224802281 0.010140306464 0.0126851192606
5.12709614167 0.00943129741774 0.0110676299925
5.20194426053 0.00746675151866 0.00963289982867
5.27679237938 0.00797635177068 0.0083638153674
5.35164049824 0.00550959113049 0.0072443486529
5.4264886171 0.00537665193431 0.00625956554478
5.50133673595 0.00466764288803 0.00539561940495
5.57618485481 0.00407680201612 0.00463973233322
5.65103297367 0.00274741005434 0.00398016605971
5.72588109252 0.00245198961839 0.00340618445835
5.80072921138 0.00191284732278 0.00290800948709
5.87557733024 0.00130723542908 0.00247677219252
5.95042544909 0.00111521214572 0.00210446024481
6.02527356795 0.000841948242461 0.0017838632961
6.10012168681 0.000760707622574 0.00150851728703
6.17496980566 0.000819791709764 0.00127264866306
6.24981792452 0.000354504523141 0.00107111930831
6.32466604338 7.38551089878e-06 0.000899372860767
6.39951416223 2.21565326963e-05 0.000753382940576
6.47436228109 2.21565326963e-05 0.000629603703024
6.54921039994 2.21565326963e-05 0.000524923020766
6.6240585188 2.21565326963e-05 0.000436618505119
6.69890663766 2.21565326963e-05 0.000362316494232
6.77375475651 2.21565326963e-05 0.000299954065741
6.84860287537 3.69275544939e-05 0.000247744072623
6.92345099423 4.43130653927e-05 0.00020414315254
6.99829911308 0.000103397152583 0.000167822622133
7.07314723194 0 0.00013764213748
7.1479953508 0 0.00011262597942
7.22284346965 0 9.19418065773e-05
7.29769158851 0 7.48817089042e-05
7.37253970737 0 6.0845389374e-05
7.44738782622 0 4.93253004044e-05
7.52223594508 0 3.98935638277e-05
7.59708406394 0 3.21905081082e-05
7.67193218279 0 2.59146634087e-05
7.74678030165 0 2.08140635098e-05
7.82162842051 0 1.66787130071e-05
7.89647653936 0 1.33340882725e-05
7.97132465822 0 1.06355510382e-05
8.04617277708 0 8.46356386541e-06
8.12102089593 0 6.71960700222e-06
8.19586901479 0 5.32270602349e-06
8.27071713364 0 4.20648908126e-06
8.3455652525 0 3.31670146895e-06
8.42041337136 0 2.60911347127e-06
8.49526149021 0 2.04776509649e-06
8.57010960907 0 1.60349825893e-06
8.64495772793 0 1.2527333021e-06
8.71980584678 0 9.76452445318e-07
8.79465396564 0 7.59357826222e-07
8.8695020845 0 5.8917633277e-07
8.94435020335 0 4.56087410902e-07
