# x y
2.45917 19.7606
3.46607 14.7578
12.1421 24.293
4.50542 13.0827
4.30803 22.0688
2.53248 11.9276
3.42124 20.2709
11.8054 5.67536
11.0699 22.7134
19.1492 1.47175
21.3367 3.45928
14.155 0.299538
20.551 5.20614
12.2943 10.14
4.45749 9.67291
19.2252 2.58224
9.08235 7.67107
13.0099 22.4621
17.3003 2.8221
3.43505 16.9609
9.71433 13.2311
11.1998 24.9255
1.58305 12.5038
3.38169 18.1002
3.50333 13.6385
0.585081 13.0368
0.629432 11.9143
14.9785 22.4152
2.45542 18.6721
24.647 12.4244
4.40597 15.3397
8.30699 9.47364
5.43142 10.2404
12.5224 3.84367
9.98288 7.04046
6.3588 18.8221
22.6956 11.2832
0.588288 16.3969
13.3062 2.05681
24.5586 18.0557
14.9043 6.88881
7.40158 10.1976
24.4691 20.336
0.541853 14.1281
23.7158 10.7428
22.6553 12.3508
11.2669 9.66948
10.4008 10.3672
12.0962 7.92486
24.5325 21.4496
1.56361 11.3946
18.4955 4.41666
18.2352 2.09544
14.791 5.80819
1.53303 14.7225
15.1732 0.761114
19.4074 3.6916
11.4723 3.44221
4.36895 19.7923
21.1977 2.34426
13.5658 4.2582
24.6514 15.8366
15.0761 24.6527
0.563596 15.2511
16.0982 0.0699977
13.0067 7.24756
12.941 21.3937
16.3831 3.44659
13.2547 0.929064
23.5533 22.1026
3.44668 9.18131
14.0487 7.64049
0.544869 17.4909
23.6707 11.8576
10.6312 12.5922
13.7453 5.38264
4.4835 10.8482
11.1735 8.5717
3.30807 22.6135
12.3268 1.56557
10.7709 5.32097
11.9752 6.80479
2.49216 15.306
11.9273 20.9498
24.7215 23.6355
24.6525 10.1657
2.37752 21.9635
10.6437 4.18368
17.4589 3.94032
20.6745 6.35996
11.5235 11.9139
2.52134 14.1843
2.55004 10.7834
0.442418 20.8105
5.48005 11.4074
16.107 14.0756
11.1223 23.7998
3.43483 19.1859
14.3308 2.48066
6.41041 9.70245
1.52539 13.6017
7.60116 11.2889
14.2595 1.40188
17.2054 1.67758
7.30842 9.00959
4.37758 17.5708
5.49261 12.5257
16.2137 1.17964
1.43747 21.353
16.0053 23.9844
10.267 9.25377
10.9722 21.6278
22.7066 13.5223
2.47324 16.4284
5.35255 18.1264
15.3281 2.95189
18.3191 3.24139
1.49682 18.0836
23.6426 12.9386
2.45155 17.5482
11.4005 10.7914
17.1007 0.538788
8.19033 8.31823
3.49001 12.5287
11.6397 13.0443
4.32709 20.9003
13.0989 24.8118
14.0482 24.1693
3.44212 15.8486
0.461098 19.7205
21.4713 4.55885
3.54066 10.2655
15.0942 14.694
9.50688 11.0185
18.1099 1.01383
12.3817 2.71769
10.5019 11.4603
8.63228 12.773
9.2137 8.78069
11.0786 7.47244
19.0747 0.352215
14.9751 23.556
4.42866 14.227
2.52642 13.098
5.32142 20.3746
12.1714 9.00059
8.63601 11.6821
2.43549 20.8207
4.43814 16.4436
13.4171 3.16453
20.4361 4.0693
14.4258 3.58769
11.9765 22.0623
20.177 1.92251
22.073 1.64755
0.62798 10.7797
4.4583 8.57982
5.44258 9.11598
21.036 1.24007
24.5891 16.9597
12.0582 23.196
12.8536 6.10762
4.40724 18.6784
24.646 11.3187
1.4997 15.8527
15.2957 1.84427
9.34802 9.90087
20.0378 0.845757
4.47741 11.9766
5.27035 21.5497
20.2829 2.99654
24.6109 22.5608
11.6648 4.55397
10.9243 6.38097
13.091 23.6264
1.47739 19.2019
15.4907 4.06671
10.1322 8.12177
0.518564 21.9353
13.9911 21.9335
0.508901 18.6258
1.44042 20.2595
19.5693 4.7531
14.5892 4.66405
1.52297 16.9658
23.6105 9.64102
13.8792 6.49216
24.4685 19.1666
16.245 2.36759
14.0028 23.0106
5.36133 19.2498
12.7162 4.97462
9.60307 12.1395
8.4516 10.5735
23.6127 23.1795
12.1672 0.47402
21.5627 5.69237
3.37838 21.4811
14.8392 21.2441
19.6879 5.90781
3.51905 11.4195
