# step time Ekin Epot Etot T
0 0 502.019 -57.4912 444.528 2.5101
10 0.02 504.197 -58.6153 445.582 2.52099
20 0.04 504.204 -61.6384 442.566 2.52102
30 0.06 504.204 -66.6126 437.591 2.52102
40 0.08 504.2 -72.9096 431.29 2.521
50 0.1 504.199 -77.2222 426.977 2.521
60 0.12 504.211 -84.0846 420.126 2.52105
70 0.14 504.176 -94.0681 410.108 2.52088
80 0.16 504.17 -83.0254 421.144 2.52085
90 0.18 504.207 -51.1282 453.078 2.52103
100 0.2 504.217 -26.168 478.049 2.52109
110 0.22 504.215 -36.4847 467.731 2.52108
120 0.24 504.176 -62.2283 441.948 2.52088
130 0.26 504.189 -79.7147 424.474 2.52094
140 0.28 504.196 -94.7215 409.474 2.52098
150 0.3 504.165 -101.482 402.683 2.52082
160 0.32 504.25 -82.0917 422.158 2.52125
170 0.34 504.171 -94.7044 409.467 2.52086
180 0.36 504.176 -108.714 395.462 2.52088
190 0.38 504.181 -102.679 401.502 2.5209
200 0.4 504.211 -85.889 418.322 2.52105
210 0.42 504.209 -86.3952 417.814 2.52105
220 0.44 504.175 -100.853 403.322 2.52087
230 0.46 504.192 -101.038 403.154 2.52096
240 0.48 504.191 -97.896 406.295 2.52096
250 0.5 504.231 -93.4756 410.755 2.52115
260 0.52 504.189 -105.812 398.377 2.52094
270 0.54 504.181 -114.441 389.74 2.52091
280 0.56 504.2 -110.358 393.841 2.521
290 0.58 504.21 -106.107 398.102 2.52105
300 0.6 504.201 -109.682 394.519 2.521
310 0.62 504.192 -116.156 388.036 2.52096
320 0.64 504.193 -117.67 386.523 2.52096
330 0.66 504.183 -111.138 393.046 2.52092
340 0.68 504.21 -96.2132 407.996 2.52105
350 0.7 504.209 -90.5946 413.614 2.52104
360 0.72 504.193 -93.4393 410.753 2.52096
370 0.74 504.179 -93.9923 410.186 2.52089
380 0.76 504.237 -90.5058 413.732 2.52119
390 0.78 504.179 -105.63 398.549 2.52089
400 0.8 504.199 -112.232 391.968 2.521
410 0.82 504.199 -117.854 386.345 2.521
420 0.84 504.178 -120.516 383.662 2.52089
430 0.86 504.166 -104.796 399.37 2.52083
440 0.88 504.322 -74.9032 429.419 2.52161
450 0.9 504.149 -101.977 402.172 2.52074
460 0.92 504.193 -110.213 393.979 2.52096
470 0.94 504.2 -110.889 393.312 2.521
480 0.96 504.172 -110.1 394.072 2.52086
490 0.98 504.212 -89.7675 414.445 2.52106
500 1 504.218 -85.4948 418.723 2.52109
510 1.02 504.182 -98.3775 405.804 2.52091
520 1.04 504.19 -98.8015 405.388 2.52095
530 1.06 504.209 -94.0571 410.152 2.52105
540 1.08 504.198 -96.1981 408 2.52099
550 1.1 504.199 -99.2921 404.907 2.52099
560 1.12 504.195 -103.639 400.556 2.52097
570 1.14 504.188 -103.972 400.216 2.52094
580 1.16 504.207 -98.2638 405.943 2.52103
590 1.18 504.203 -102.09 402.114 2.52102
600 1.2 504.199 -110.824 393.375 2.521
610 1.22 504.182 -114.858 389.323 2.52091
620 1.24 504.21 -108.41 395.8 2.52105
630 1.26 504.205 -109.382 394.823 2.52103
640 1.28 504.192 -114.359 389.834 2.52096
650 1.3 504.188 -112.946 391.242 2.52094
660 1.32 504.214 -108.194 396.021 2.52107
670 1.34 504.179 -109.923 394.255 2.52089
680 1.36 504.248 -95.2407 409.007 2.52124
690 1.38 504.121 -114.719 389.402 2.52061
700 1.4 504.208 -112.205 392.004 2.52104
710 1.42 504.209 -113.767 390.443 2.52105
720 1.44 504.189 -121.028 383.161 2.52095
730 1.46 504.194 -120.662 383.532 2.52097
740 1.48 504.191 -116.01 388.18 2.52095
750 1.5 504.192 -102.401 401.791 2.52096
760 1.52 504.223 -93.368 410.855 2.52112
770 1.54 504.176 -97.9944 406.181 2.52088
780 1.56 504.206 -92.639 411.567 2.52103
790 1.58 504.21 -93.7353 410.475 2.52105
800 1.6 504.189 -104.869 399.32 2.52094
810 1.62 504.182 -110.456 393.725 2.52091
820 1.64 504.181 -101.792 402.39 2.52091
830 1.66 504.225 -83.6072 420.618 2.52113
840 1.68 504.209 -87.6574 416.552 2.52105
850 1.7 504.191 -103.123 401.067 2.52095
860 1.72 504.182 -111.437 392.745 2.52091
870 1.74 504.203 -108.831 395.372 2.52101
880 1.76 504.204 -108.753 395.451 2.52102
890 1.78 504.19 -111.699 392.492 2.52095
900 1.8 504.203 -109.935 394.267 2.52101
910 1.82 504.19 -108.001 396.189 2.52095
920 1.84 504.208 -100.998 403.21 2.52104
930 1.86 504.206 -100.995 403.211 2.52103
940 1.88 504.187 -104.7 399.487 2.52093
950 1.9 504.21 -111.79 392.42 2.52105
960 1.92 504.184 -124.618 379.566 2.52092
970 1.94 504.19 -123.356 380.834 2.52095
980 1.96 504.21 -113.993 390.216 2.52105
990 1.98 504.191 -109.477 394.714 2.52095
1000 2 504.206 -102.575 401.63 2.52103
1010 2.02 504.212 -101.662 402.55 2.52106
1020 2.04 504.181 -107.644 396.538 2.52091
1030 2.06 504.2 -101.406 402.794 2.521
1040 2.08 504.204 -97.6076 406.596 2.52102
1050 2.1 504.195 -101.611 402.585 2.52098
1060 2.12 504.186 -98.3589 405.827 2.52093
