iter,max_change,S,max_abs_res,rms_res
0,0.2386,-6.72594,140.791,12.3794
1,0.188754,-10.4402,154.478,11.5791
2,0.175567,-12.9,136.435,10.7795
3,0.146833,-14.6239,123.884,10.0308
4,0.127489,-15.8987,112.46,9.34262
5,0.120722,-16.8874,104.968,8.71097
6,0.116899,-17.685,96.9438,8.12934
7,0.111078,-18.3486,91.7002,7.59186
8,0.104278,-18.9137,85.2891,7.09399
9,0.0972025,-19.4034,80.9257,6.63224
10,0.111312,-19.8329,75.3715,6.20392
11,0.116994,-20.2129,71.4511,5.80675
12,0.114557,-20.5508,66.5424,5.43874
13,0.105652,-20.8521,63.0217,5.09795
14,0.0920994,-21.121,58.7166,4.78249
15,0.0756962,-21.3607,55.6137,4.49046
16,0.0651083,-21.5739,51.8625,4.21993
17,0.0606612,-21.7627,49.147,3.96901
18,0.0548459,-21.9293,45.8687,3.73584
19,0.0511368,-22.0754,43.4799,3.51869
20,0.0481137,-22.2028,40.6008,3.31596
21,0.0440105,-22.3132,38.4928,3.12621
22,0.0415117,-22.4082,35.9627,2.94817
23,0.0390357,-22.4894,34.1024,2.78078
24,0.0363126,-22.5585,31.8745,2.62315
25,0.0336796,-22.6168,30.2297,2.47453
26,0.0308684,-22.666,28.2661,2.33432
27,0.0282052,-22.7073,26.8113,2.20203
28,0.0254311,-22.742,25.0785,2.07724
29,0.024609,-22.7712,23.7902,1.95961
30,0.0244485,-22.7958,22.26,1.8488
31,0.0242583,-22.8169,21.1186,1.7445
32,0.023991,-22.8351,19.7661,1.6464
33,0.0236959,-22.8511,18.7543,1.55419
34,0.0233074,-22.8654,17.5581,1.46753
35,0.0228947,-22.8783,16.6605,1.38609
36,0.0223778,-22.8902,15.602,1.30951
37,0.021842,-22.9014,14.8054,1.23745
38,0.021197,-22.9119,13.8682,1.16956
39,0.0205406,-22.922,13.161,1.10551
40,0.0197753,-22.9316,12.3306,1.04499
41,0.0190085,-22.9409,11.7025,0.98772
42,0.0181387,-22.9498,10.9666,0.93345
43,0.017279,-22.9584,10.4084,0.881961
44,0.0163268,-22.9667,9.75587,0.833066
45,0.0153981,-22.9747,9.25969,0.786613
46,0.0143966,-22.9823,8.68086,0.74248
47,0.0134223,-22.9896,8.23964,0.700566
48,0.0124008,-22.9966,7.72595,0.660795
49,0.0114147,-23.0032,7.33345,0.623103
50,0.010695,-23.0095,6.8774,0.587436
51,0.0104002,-23.0154,6.52811,0.553744
52,0.0100604,-23.0211,6.12309,0.521978
53,0.00978547,-23.0263,5.81216,0.492081
54,0.00947191,-23.0313,5.45233,0.463993
55,0.00920802,-23.0358,5.17547,0.437642
56,0.0089072,-23.0401,4.85568,0.412944
57,0.00864403,-23.0439,4.60909,0.38981
58,0.00836164,-23.0475,4.3248,0.368139
59,0.00807472,-23.0506,4.10511,0.347825
60,0.00781353,-23.0534,3.85233,0.328757
61,0.00750891,-23.0559,3.65658,0.310828
62,0.00722459,-23.0579,3.43177,0.293929
63,0.00689922,-23.0596,3.25734,0.277959
64,0.00659099,-23.0609,3.05738,0.262801
65,0.00624523,-23.0618,2.90192,0.248389
66,0.00591557,-23.0627,2.72405,0.234599
67,0.00555305,-23.0636,2.58552,0.221365
68,0.00520743,-23.0643,2.42729,0.208635
69,0.00483468,-23.0649,2.30385,0.19637
70,0.00448105,-23.0653,2.16311,0.184555
71,0.0041068,-23.0653,2.05318,0.173197
72,0.00375479,-23.065,1.92815,0.162316
73,0.00338892,-23.0644,1.83051,0.151946
74,0.00304839,-23.0635,1.71977,0.14212
75,0.0027,-23.0625,1.63325,0.132871
76,0.00237724,-23.0613,1.53493,0.12422
77,0.00205048,-23.0602,1.45765,0.116181
78,0.00174734,-23.0592,1.36961,0.108747
79,0.00144781,-23.0583,1.30008,0.101899
80,0.00139515,-23.0575,1.22107,0.0955982
81,0.00135799,-23.057,1.15849,0.0897971
82,0.00133277,-23.0566,1.0876,0.0844393
83,0.00133554,-23.0563,1.03133,0.0794657
84,0.00132286,-23.0562,0.967876,0.0748198
85,0.00128808,-23.0562,0.917436,0.070452
86,0.00124159,-23.0563,0.860785,0.066323
87,0.00117585,-23.0565,0.81574,0.0624047
88,0.00110356,-23.0567,0.765343,0.0586796
89,0.0010193,-23.057,0.72527,0.0551389
90,0.000928889,-23.0573,0.680592,0.051779
91,0.000835742,-23.0575,0.645074,0.0486
92,0.000738897,-23.0578,0.605573,0.0456021
93,0.000645979,-23.058,0.574184,0.042785
94,0.000552899,-23.0582,0.53933,0.0401458
95,0.00046786,-23.0584,0.511644,0.0376788
96,0.000385886,-23.0586,0.480928,0.0353756
97,0.000314181,-23.0587,0.456536,0.0332252
98,0.000280009,-23.0588,0.429474,0.031215
99,0.000279224,-23.0588,0.407989,0.0293318
100,0.000281505,-23.0589,0.384137,0.0275624
101,0.000284487,-23.0589,0.365203,0.0258949
102,0.000281616,-23.0589,0.344156,0.0243188
103,0.00027564,-23.0589,0.327447,0.0228256
104,0.000264492,-23.0589,0.308844,0.0214092
105,0.000251483,-23.0588,0.294071,0.020065
106,0.000234329,-23.0588,0.277588,0.0187906
107,0.00021661,-23.0588,0.264491,0.0175845
108,0.000195943,-23.0587,0.249844,0.016446
109,0.000175922,-23.0587,0.238194,0.0153747
110,0.00015416,-23.0587,0.225132,0.0143696
111,0.000134057,-23.0586,0.214726,0.0134293
112,0.000116469,-23.0586,0.203031,0.012551
113,0.000122846,-23.0586,0.193691,0.0117308
114,0.000129176,-23.0586,0.183172,0.0109634
115,0.000133719,-23.0586,0.174746,0.0102425
116,0.000137709,-23.0586,0.165239,0.00956103
117,0.00013957,-23.0586,0.157594,0.00891155
118,0.000140715,-23.0586,0.14896,0.0082867
119,0.000139645,-23.0586,0.141987,0.00767966
120,0.000138001,-23.0586,0.13411,0.00708447
121,0.000134285,-23.0586,0.127718,0.00649627
122,0.000130374,-23.0586,0.126756,0.00591132
123,0.000124712,-23.0586,0.128586,0.00532697
124,0.000119392,-23.0586,0.128033,0.0047413
125,0.000112747,-23.0587,0.125347,0.00415265
126,0.000131229,-23.0587,0.165108,0.00355858
127,0.000172323,-23.0586,0.0934855,0.0021047
128,9.75709e-05,-23.0586,0.018132,0.000678187
129,2.33342e-05,-23.0586,0.00190371,0.000227273
130,4.53684e-06,-23.0586,0.000971187,0.000141156
131,3.38131e-06,-23.0586,0.00125442,0.00011113
132,3.13452e-06,-23.0586,0.000491963,9.88862e-05
133,2.87219e-06,-23.0586,0.000418962,9.19409e-05
134,2.78768e-06,-23.0586,0.000375178,8.61432e-05
135,2.60593e-06,-23.0586,0.000352417,8.08798e-05
136,2.46265e-06,-23.0586,0.000320715,7.58806e-05
137,2.3101e-06,-23.0586,0.000299717,7.10988e-05
138,2.17875e-06,-23.0586,0.000277486,6.65414e-05
139,2.03688e-06,-23.0586,0.000256962,6.21992e-05
140,1.90894e-06,-23.0586,0.000244959,5.80742e-05
141,1.7793e-06,-23.0586,0.000233152,5.41504e-05
142,1.65977e-06,-23.0586,0.000218072,5.04267e-05
143,1.53731e-06,-23.0586,0.00020077,4.68963e-05
144,1.42782e-06,-23.0586,0.000181377,4.35565e-05
145,1.31428e-06,-23.0586,0.000165466,4.0403e-05
146,1.21241e-06,-23.0586,0.000151753,3.74313e-05
147,1.10857e-06,-23.0586,0.000136874,3.46377e-05
148,1.0148e-06,-23.0586,0.000121625,3.20178e-05
149,9.22534e-07,-23.0586,0.000112384,2.95669e-05
150,8.39867e-07,-23.0586,0.00010477,2.72805e-05
151,8.00175e-07,-23.0586,9.78398e-05,2.51538e-05
152,7.56289e-07,-23.0586,9.21549e-05,2.31816e-05
153,7.16658e-07,-23.0586,8.5729e-05,2.13588e-05
154,6.73501e-07,-23.0586,8.0139e-05,1.96797e-05
155,6.34816e-07,-23.0586,7.56623e-05,1.81386e-05
156,5.93159e-07,-23.0586,7.42849e-05,1.67294e-05
157,5.56142e-07,-23.0586,7.22799e-05,1.54454e-05
158,5.19438e-07,-23.0586,7.16167e-05,1.42795e-05
159,4.82666e-07,-23.0586,7.10242e-05,1.32241e-05
160,4.50177e-07,-23.0586,6.95808e-05,1.22707e-05
161,4.16095e-07,-23.0586,6.73225e-05,1.14105e-05
162,3.86299e-07,-23.0586,6.44771e-05,1.0634e-05
163,3.55349e-07,-23.0586,6.17075e-05,9.93179e-06
164,3.28618e-07,-23.0586,6.05179e-05,9.2944e-06
165,3.01238e-07,-23.0586,5.86215e-05,8.71272e-06
166,2.77971e-07,-23.0586,5.60249e-05,8.17832e-06
167,2.54574e-07,-23.0586,5.28198e-05,7.68353e-06
168,2.35122e-07,-23.0586,4.91238e-05,7.22183e-06
169,2.15886e-07,-23.0586,4.61499e-05,6.78775e-06
170,2.00222e-07,-23.0586,4.37855e-05,6.37708e-06
171,1.84784e-07,-23.0586,4.09308e-05,5.98669e-06
172,1.72308e-07,-23.0586,3.76857e-05,5.61446e-06
173,1.59815e-07,-23.0586,3.41358e-05,5.25906e-06
174,1.49613e-07,-23.0586,3.1127e-05,4.91977e-06
175,1.39104e-07,-23.0586,2.85873e-05,4.59624e-06
176,1.30289e-07,-23.0586,2.58152e-05,4.28835e-06
177,1.2268e-07,-23.0586,2.2871e-05,3.99606e-06
178,1.1555e-07,-23.0586,1.98388e-05,3.71937e-06
179,1.10214e-07,-23.0586,1.75185e-05,3.45833e-06
180,1.03514e-07,-23.0586,1.56956e-05,3.21302e-06
181,9.50392e-08,-23.0586,1.50372e-05,2.98356e-06
182,8.69548e-08,-23.0586,1.46509e-05,2.77009e-06
183,8.03146e-08,-23.0586,1.51005e-05,2.57272e-06
184,7.32836e-08,-23.0586,1.51418e-05,2.39139e-06
185,6.62719e-08,-23.0586,1.55938e-05,2.2258e-06
186,5.92045e-08,-23.0586,1.63399e-05,2.07529e-06
187,5.18015e-08,-23.0586,1.52742e-05,1.93875e-06
188,4.82088e-08,-23.0586,1.48574e-05,1.81467e-06
