iter,max_change,S,max_abs_res,rms_res
0,0.0784291,-2.7844,120.465,11.2677
1,0.0726611,-5.12201,117.583,10.5535
2,0.068299,-7.14658,111.969,9.89855
3,0.0644382,-8.90524,104.29,9.29707
4,0.0609979,-10.4374,95.145,8.74372
5,0.0577261,-11.7761,86.1589,8.23361
6,0.0546904,-12.949,80.8524,7.76229
7,0.051848,-13.9792,76.4667,7.32578
8,0.0490938,-14.8863,71.9067,6.92055
9,0.0465854,-15.6868,68.119,6.5435
10,0.0441323,-16.3947,64.1452,6.19191
11,0.0418018,-17.022,60.8264,5.86338
12,0.0396077,-17.5789,57.327,5.55583
13,0.0374543,-18.0741,54.3895,5.26746
14,0.0354385,-18.5151,51.2862,4.99666
15,0.0335009,-18.9085,48.6697,4.74203
16,0.031599,-19.26,45.906,4.50235
17,0.0298325,-19.5745,43.5676,4.27651
18,0.0281187,-19.8562,41.1008,4.06356
19,0.0264421,-20.1089,39.0076,3.8626
20,0.0257554,-20.336,36.8037,3.67286
21,0.0253648,-20.5402,34.9291,3.49361
22,0.0246607,-20.7242,32.9592,3.32422
23,0.0236899,-20.8902,31.2805,3.16407
24,0.0224982,-21.04,29.5196,3.01263
25,0.0211295,-21.1756,28.0165,2.86937
26,0.0196363,-21.2983,26.4424,2.73382
27,0.0183807,-21.4096,25.0968,2.60554
28,0.0171995,-21.5107,23.6897,2.48411
29,0.0161848,-21.6026,22.4853,2.36914
30,0.0152106,-21.6862,21.2274,2.26027
31,0.014348,-21.7625,20.1493,2.15714
32,0.013515,-21.832,19.0246,2.05944
33,0.0127623,-21.8956,18.0597,1.96684
34,0.0120281,-21.9538,17.0541,1.87905
35,0.0113671,-22.007,16.1903,1.79581
36,0.0107171,-22.0559,15.2909,1.71683
37,0.0101274,-22.1006,14.5176,1.64189
38,0.00954847,-22.1418,13.7132,1.57073
39,0.00919141,-22.1796,13.0208,1.50314
40,0.00891185,-22.2143,12.3011,1.4389
41,0.00866314,-22.2463,11.6812,1.37783
42,0.0084431,-22.2758,11.0373,1.31972
43,0.00825924,-22.3029,10.4821,1.2644
