iter,max_change,S,max_abs_res,rms_res
0,0.00539885,-0.238874,19.6328,9.89376
1,0.00536978,-0.475206,19.527,9.8405
2,0.00534086,-0.709024,19.4217,9.78751
3,0.0053121,-0.940351,19.3171,9.7348
4,0.00528349,-1.16922,19.2129,9.68237
5,0.00525504,-1.39564,19.1094,9.63022
6,0.00522673,-1.61966,19.0064,9.57835
7,0.00519858,-1.84129,18.9039,9.52675
8,0.00517059,-2.06056,18.802,9.47543
9,0.00514274,-2.27749,18.7006,9.42439
10,0.00511504,-2.49212,18.5998,9.37362
11,0.00508749,-2.70445,18.4996,9.32312
12,0.00506009,-2.91453,18.3998,9.27289
13,0.00503283,-3.12237,18.3006,9.22293
14,0.00500573,-3.328,18.202,9.17324
15,0.00497876,-3.53144,18.1039,9.12382
16,0.00495194,-3.73271,18.0062,9.07466
17,0.00492527,-3.93183,17.9092,9.02577
18,0.00489874,-4.12884,17.8126,8.97714
19,0.00487235,-4.32375,17.7166,8.92877
20,0.00484611,-4.51659,17.6211,8.88066
21,0.00482,-4.70737,17.5261,8.83281
22,0.00479404,-4.89612,17.4316,8.78522
23,0.00476821,-5.08286,17.3376,8.73788
24,0.00474253,-5.26761,17.2441,8.6908
25,0.00471698,-5.4504,17.1511,8.64397
26,0.00469157,-5.63124,17.0586,8.59739
27,0.00466629,-5.81016,16.9667,8.55106
28,0.00464115,-5.98717,16.8752,8.50498
29,0.00461615,-6.1623,16.7842,8.45915
30,0.00459128,-6.33556,16.6937,8.41357
31,0.00456654,-6.50698,16.6036,8.36823
32,0.00454194,-6.67658,16.5141,8.32314
33,0.00451746,-6.84437,16.4251,8.27829
34,0.00449312,-7.01038,16.3365,8.23368
35,0.00446891,-7.17462,16.2484,8.18931
36,0.00444483,-7.33711,16.1608,8.14518
37,0.00442087,-7.49788,16.0736,8.10128
38,0.00439705,-7.65693,15.9869,8.05763
39,0.00437335,-7.81429,15.9007,8.0142
40,0.00434977,-7.96998,15.815,7.97101
41,0.00432632,-8.12401,15.7301,7.92806
42,0.00430299,-8.27641,15.6458,7.88533
43,0.00427979,-8.42718,15.5619,7.84284
44,0.0042567,-8.57635,15.4785,7.80057
45,0.00423374,-8.72393,15.3955,7.75853
46,0.0042109,-8.86995,15.313,7.71672
47,0.00418818,-9.01441,15.231,7.67513
48,0.00416557,-9.15733,15.1494,7.63377
49,0.00414308,-9.29874,15.0683,7.59263
50,0.00412071,-9.43864,14.9876,7.55171
51,0.00409846,-9.57705,14.9074,7.51101
52,0.00407639,-9.714,14.8276,7.47053
53,0.0040545,-9.84948,14.7483,7.43027
54,0.00403273,-9.98353,14.6694,7.39022
55,0.00401109,-10.1162,14.5909,7.35039
56,0.00398956,-10.2474,14.5129,7.31078
57,0.00396815,-10.3772,14.4353,7.27138
58,0.00394686,-10.5056,14.3581,7.23219
59,0.00392569,-10.6327,14.2814,7.19321
60,0.00390464,-10.7584,14.2051,7.15444
61,0.0038837,-10.8828,14.1292,7.11588
62,0.00386288,-11.0059,14.0537,7.07752
63,0.00384218,-11.1276,13.9786,7.03938
64,0.00382158,-11.2481,13.904,7.00144
65,0.00380111,-11.3673,13.8298,6.9637
66,0.00378074,-11.4852,13.7559,6.92617
67,0.00376049,-11.6019,13.6825,6.88884
68,0.00374034,-11.7173,13.6095,6.85171
69,0.00372031,-11.8315,13.5369,6.81478
70,0.00370039,-11.9445,13.4646,6.77804
71,0.00368058,-12.0563,13.3928,6.74151
72,0.00366088,-12.1669,13.3214,6.70517
73,0.00364128,-12.2763,13.2503,6.66903
74,0.00362179,-12.3846,13.1797,6.63309
75,0.00360241,-12.4917,13.1094,6.59733
76,0.00358314,-12.5977,13.0395,6.56177
77,0.00356397,-12.7025,12.97,6.5264
78,0.0035449,-12.8063,12.9009,6.49122
79,0.00352594,-12.9089,12.8321,6.45623
80,0.00350709,-13.0105,12.7638,6.42143
81,0.00348833,-13.1109,12.6957,6.38682
82,0.00346968,-13.2103,12.6281,6.35239
83,0.00345113,-13.3087,12.5608,6.31815
84,0.00343268,-13.406,12.4939,6.28409
85,0.00341433,-13.5023,12.4274,6.25022
86,0.00339608,-13.5975,12.3612,6.21653
87,0.00337793,-13.6918,12.2954,6.18302
88,0.00335987,-13.785,12.2299,6.14969
89,0.00334192,-13.8773,12.1648,6.11654
90,0.00332406,-13.9685,12.1,6.08357
91,0.0033063,-14.0589,12.0356,6.05077
92,0.00328864,-14.1482,11.9715,6.01816
93,0.00327107,-14.2366,11.9078,5.98571
94,0.00325359,-14.3241,11.8444,5.95345
95,0.00323621,-14.4106,11.7813,5.92135
96,0.00321892,-14.4962,11.7186,5.88943
97,0.00320173,-14.5809,11.6562,5.85768
98,0.00318463,-14.6648,11.5942,5.82611
99,0.00316762,-14.7477,11.5325,5.7947
100,0.0031507,-14.8297,11.4711,5.76346
101,0.00313388,-14.9109,11.4101,5.73239
102,0.00311722,-14.9912,11.3493,5.70149
103,0.00310069,-15.0707,11.2889,5.67075
104,0.00308424,-15.1493,11.2289,5.64018
105,0.00306788,-15.2271,11.1691,5.60978
106,0.00305161,-15.3041,11.1097,5.57953
107,0.00303543,-15.3802,11.0505,5.54945
108,0.00301933,-15.4556,10.9917,5.51954
109,0.00300332,-15.5301,10.9332,5.48978
110,0.00298739,-15.6039,10.8751,5.46018
111,0.00297155,-15.6769,10.8172,5.43075
112,0.00295579,-15.7491,10.7596,5.40147
113,0.00294011,-15.8205,10.7024,5.37235
114,0.00292452,-15.8912,10.6454,5.34338
115,0.002909,-15.9611,10.5888,5.31458
116,0.00289357,-16.0303,10.5324,5.28592
117,0.00287823,-16.0988,10.4764,5.25743
118,0.00286296,-16.1665,10.4206,5.22908
119,0.00284777,-16.2335,10.3652,5.20089
120,0.00283266,-16.2999,10.31,5.17285
121,0.00281764,-16.3655,10.2551,5.14496
122,0.00280269,-16.4304,10.2005,5.11722
123,0.00278782,-16.4946,10.1462,5.08963
124,0.00277303,-16.5582,10.0922,5.06219
125,0.00275831,-16.621,10.0385,5.0349
126,0.00274368,-16.6832,9.98507,5.00775
127,0.00272912,-16.7448,9.93192,4.98075
128,0.00271464,-16.8057,9.87905,4.9539
129,0.00270023,-16.866,9.82645,4.92719
130,0.0026859,-16.9256,9.77413,4.90062
131,0.00267164,-16.9846,9.72209,4.8742
132,0.00265746,-17.0429,9.67033,4.84792
133,0.00264335,-17.1007,9.61884,4.82178
134,0.00262932,-17.1578,9.56761,4.79578
135,0.00261536,-17.2144,9.51666,4.76992
136,0.00260148,-17.2703,9.46598,4.7442
137,0.00258767,-17.3257,9.41557,4.71862
138,0.00257392,-17.3804,9.36542,4.69318
139,0.00256026,-17.4346,9.31553,4.66788
140,0.00254666,-17.4882,9.26591,4.64271
141,0.00253313,-17.5413,9.21655,4.61767
142,0.00251968,-17.5937,9.16744,4.59277
143,0.00250629,-17.6457,9.1186,4.56801
144,0.00249298,-17.6971,9.07001,4.54338
145,0.00247974,-17.7479,9.02168,4.51888
146,0.00246656,-17.7982,8.97361,4.49451
147,0.00245345,-17.848,8.92578,4.47028
148,0.00244042,-17.8972,8.87821,4.44617
149,0.00242745,-17.9459,8.83089,4.4222
150,0.00241454,-17.9941,8.78381,4.39835
151,0.00240171,-18.0418,8.73699,4.37464
152,0.00238894,-18.089,8.69041,4.35105
153,0.00237624,-18.1357,8.64407,4.32759
154,0.00236361,-18.182,8.59798,4.30425
155,0.00235104,-18.2277,8.55213,4.28104
156,0.00233854,-18.2729,8.50652,4.25795
157,0.0023261,-18.3177,8.46115,4.23499
158,0.00231373,-18.362,8.41602,4.21216
159,0.00230142,-18.4058,8.37112,4.18944
160,0.00228918,-18.4491,8.32647,4.16685
161,0.002277,-18.492,8.28204,4.14438
162,0.00226488,-18.5345,8.23785,4.12203
163,0.00225283,-18.5765,8.19389,4.0998
164,0.00224084,-18.6181,8.15016,4.07769
165,0.00222892,-18.6592,8.10666,4.0557
166,0.00221705,-18.6999,8.06339,4.03383
167,0.00220525,-18.7401,8.02035,4.01208
168,0.00219351,-18.78,7.97753,3.99044
169,0.00218183,-18.8194,7.93494,3.96892
170,0.00217021,-18.8584,7.89257,3.94752
171,0.00215865,-18.897,7.85042,3.92623
172,0.00214715,-18.9352,7.80849,3.90506
173,0.00213572,-18.9729,7.76678,3.884
174,0.00212434,-19.0103,7.7253,3.86305
175,0.00211302,-19.0473,7.68402,3.84222
176,0.00210176,-19.0839,7.64297,3.8215
177,0.00209056,-19.1201,7.60213,3.80089
178,0.00207942,-19.156,7.56151,3.78039
179,0.00206833,-19.1914,7.52109,3.76
180,0.00205731,-19.2265,7.48089,3.73972
181,0.00204634,-19.2612,7.4409,3.71956
182,0.00203543,-19.2956,7.40113,3.6995
183,0.00202457,-19.3295,7.36155,3.67954
184,0.00201378,-19.3632,7.32219,3.6597
185,0.00200303,-19.3965,7.28303,3.63996
186,0.00199235,-19.4294,7.24408,3.62033
187,0.00198172,-19.462,7.20533,3.6008
188,0.00197115,-19.4942,7.16679,3.58138
189,0.00196063,-19.5261,7.12845,3.56207
190,0.00195016,-19.5577,7.09031,3.54286
191,0.00193975,-19.5889,7.05236,3.52375
192,0.0019294,-19.6198,7.01462,3.50474
193,0.0019191,-19.6504,6.97708,3.48584
194,0.00190885,-19.6806,6.93973,3.46704
195,0.00189866,-19.7106,6.90258,3.44834
196,0.00188852,-19.7402,6.86562,3.42974
197,0.00187843,-19.7695,6.82886,3.41124
198,0.0018684,-19.7985,6.79229,3.39284
199,0.00185841,-19.8272,6.75591,3.37455
200,0.00184848,-19.8556,6.71972,3.35634
201,0.00183861,-19.8837,6.68372,3.33824
202,0.00182878,-19.9115,6.64791,3.32024
203,0.001819,-19.939,6.61229,3.30233
204,0.00180928,-19.9663,6.57686,3.28452
205,0.00179961,-19.9932,6.54161,3.2668
206,0.00178998,-20.0199,6.50654,3.24918
207,0.00178041,-20.0462,6.47166,3.23165
208,0.00177089,-20.0724,6.43697,3.21422
209,0.00176142,-20.0982,6.40245,3.19689
210,0.00175199,-20.1237,6.36812,3.17964
211,0.00174262,-20.149,6.33396,3.16249
212,0.00173329,-20.1741,6.29999,3.14543
213,0.00172402,-20.1988,6.26619,3.12847
214,0.00171479,-20.2233,6.23257,3.11159
215,0.00170561,-20.2476,6.19913,3.09481
216,0.00169648,-20.2716,6.16586,3.07811
217,0.0016874,-20.2953,6.13277,3.06151
218,0.00167836,-20.3188,6.09985,3.045
219,0.00166937,-20.342,6.06711,3.02857
220,0.00166043,-20.365,6.03453,3.01223
221,0.00165153,-20.3878,6.00213,2.99599
222,0.00164268,-20.4103,5.9699,2.97983
223,0.00163388,-20.4326,5.93783,2.96375
224,0.00162513,-20.4547,5.90594,2.94776
225,0.00161642,-20.4765,5.87421,2.93186
226,0.00160775,-20.4981,5.84265,2.91605
227,0.00159913,-20.5194,5.81125,2.90032
228,0.00159056,-20.5406,5.78002,2.88467
229,0.00158203,-20.5615,5.74896,2.86911
230,0.00157354,-20.5822,5.71805,2.85363
231,0.0015651,-20.6027,5.68731,2.83824
232,0.00155671,-20.623,5.65673,2.82293
233,0.00154835,-20.643,5.62632,2.8077
234,0.00154005,-20.6629,5.59606,2.79255
235,0.00153178,-20.6825,5.56596,2.77749
236,0.00152356,-20.702,5.53602,2.76251
237,0.00151538,-20.7212,5.50623,2.7476
238,0.00150724,-20.7403,5.47661,2.73278
239,0.00149915,-20.7591,5.44713,2.71804
240,0.0014911,-20.7777,5.41782,2.70338
241,0.00148309,-20.7962,5.38865,2.68879
242,0.00147513,-20.8144,5.35965,2.67429
