omega,iterations,max_abs_res,S_error,max_abs_error
1,626,9.99633e-09,2.01069,0.00726017
1.05,602,9.94278e-09,2.01069,0.00726017
1.1,578,9.94721e-09,2.01069,0.00726017
1.15,554,9.87602e-09,2.01069,0.00726017
1.2,528,9.89946e-09,2.01069,0.00726017
1.25,501,9.95682e-09,2.01069,0.00726017
1.3,474,9.90685e-09,2.01069,0.00726017
1.35,446,9.89912e-09,2.01069,0.00726017
1.4,417,9.96602e-09,2.01069,0.00726017
1.45,388,9.91015e-09,2.01069,0.00726017
1.5,358,9.96479e-09,2.01069,0.00726017
1.55,328,9.76107e-09,2.01069,0.00726017
1.6,296,9.98714e-09,2.01069,0.00726017
1.65,264,9.72905e-09,2.01069,0.00726017
1.7,230,9.55598e-09,2.01069,0.00726017
1.75,193,9.38171e-09,2.01069,0.00726017
1.8,148,9.81358e-09,2.01069,0.00726017
1.85,162,8.68225e-09,2.01069,0.00726018
1.9,236,9.75895e-09,2.01069,0.00726018
