x,y,value
0.000000000000,0.000000000000,0.000000000000
0.000000000000,0.093750000000,0.000000000000
0.000000000000,0.187500000000,0.000000000000
0.000000000000,0.281250000000,0.000000000000
0.000000000000,0.375000000000,0.000000000000
0.000000000000,0.468750000000,0.000000000000
0.000000000000,0.562500000000,0.000000000000
0.000000000000,0.656250000000,0.000000000000
0.000000000000,0.750000000000,0.000000000000
0.000000000000,0.843750000000,0.000000000000
0.000000000000,0.937500000000,0.000000000000
0.000000000000,1.031250000000,0.000000000000
0.000000000000,1.125000000000,0.000000000000
0.000000000000,1.218750000000,0.000000000000
0.000000000000,1.312500000000,0.000000000000
0.000000000000,1.406250000000,0.000000000000
0.000000000000,1.500000000000,0.000000000000
0.000000000000,1.593750000000,0.000000000000
0.000000000000,1.687500000000,0.000000000000
0.000000000000,1.781250000000,0.000000000000
0.000000000000,1.875000000000,0.000000000000
0.000000000000,1.968750000000,0.000000000000
0.000000000000,2.062500000000,0.000000000000
0.000000000000,2.156250000000,0.000000000000
0.000000000000,2.250000000000,0.000000000000
0.000000000000,2.343750000000,0.000000000000
0.000000000000,2.437500000000,0.000000000000
0.000000000000,2.531250000000,0.000000000000
0.000000000000,2.625000000000,0.000000000000
0.000000000000,2.718750000000,0.000000000000
0.000000000000,2.812500000000,0.000000000000
0.000000000000,2.906250000000,0.000000000000
0.000000000000,3.000000000000,0.000000000000
0.093750000000,0.000000000000,0.000000000000
0.093750000000,0.093750000000,0.000000002896
0.093750000000,0.187500000000,0.000000004124
0.093750000000,0.281250000000,0.000000005166
0.093750000000,0.375000000000,0.000000006030
0.093750000000,0.468750000000,0.000000006722
0.093750000000,0.562500000000,0.000000007254
0.093750000000,0.656250000000,0.000000007640
0.093750000000,0.750000000000,0.000000007888
0.093750000000,0.843750000000,0.000000008011
0.093750000000,0.937500000000,0.000000008022
0.093750000000,1.031250000000,0.000000007931
0.093750000000,1.125000000000,0.000000007751
0.093750000000,1.218750000000,0.000000007494
0.093750000000,1.312500000000,0.000000007182
0.093750000000,1.406250000000,0.000000006812
0.093750000000,1.500000000000,0.000000006387
0.093750000000,1.593750000000,0.000000005943
0.093750000000,1.687500000000,0.000000005475
0.093750000000,1.781250000000,0.000000004986
0.093750000000,1.875000000000,0.000000004498
0.093750000000,1.968750000000,0.000000003999
0.093750000000,2.062500000000,0.000000003509
0.093750000000,2.156250000000,0.000000003031
0.093750000000,2.250000000000,0.000000002569
0.093750000000,2.343750000000,0.000000002128
0.093750000000,2.437500000000,0.000000001707
0.093750000000,2.531250000000,0.000000001313
0.093750000000,2.625000000000,0.000000000946
0.093750000000,2.718750000000,0.000000000609
0.093750000000,2.812500000000,0.000000000302
0.093750000000,2.906250000000,0.000000000025
0.093750000000,3.000000000000,0.000000000000
0.187500000000,0.000000000000,0.000000000000
0.187500000000,0.093750000000,0.000000004124
0.187500000000,0.187500000000,0.000000005294
0.187500000000,0.281250000000,0.000000006270
0.187500000000,0.375000000000,0.000000007060
0.187500000000,0.468750000000,0.000000007673
0.187500000000,0.562500000000,0.000000008124
0.187500000000,0.656250000000,0.000000008426
0.187500000000,0.750000000000,0.000000008590
0.187500000000,0.843750000000,0.000000008631
0.187500000000,0.937500000000,0.000000008562
0.187500000000,1.031250000000,0.000000008391
0.187500000000,1.125000000000,0.000000008134
0.187500000000,1.218750000000,0.000000007811
0.187500000000,1.312500000000,0.000000007433
0.187500000000,1.406250000000,0.000000006986
0.187500000000,1.500000000000,0.000000006508
0.187500000000,1.593750000000,0.000000006019
0.187500000000,1.687500000000,0.000000005495
0.187500000000,1.781250000000,0.000000004968
0.187500000000,1.875000000000,0.000000004435
0.187500000000,1.968750000000,0.000000003901
0.187500000000,2.062500000000,0.000000003387
0.187500000000,2.156250000000,0.000000002884
0.187500000000,2.250000000000,0.000000002404
0.187500000000,2.343750000000,0.000000001946
0.187500000000,2.437500000000,0.000000001515
0.187500000000,2.531250000000,0.000000001113
0.187500000000,2.625000000000,0.000000000742
0.187500000000,2.718750000000,0.000000000404
0.187500000000,2.812500000000,0.000000000098
0.187500000000,2.906250000000,-0.000000000176
0.187500000000,3.000000000000,0.000000000000
0.281250000000,0.000000000000,0.000000000000
0.281250000000,0.093750000000,0.000000005167
