N,dx,iterations,S_final,S_error,max_abs_res,rms_res,max_abs_error,rms_error
32,0.093750000000,626,-24.217300612249,2.010690709798,0.000000009996,0.000000004971,0.007260170593,0.003747187096
64,0.046875000000,1906,-23.058628403727,0.852018501276,0.000000009988,0.000000003990,0.001809138602,0.000918928134
128,0.023437500000,6380,-22.593408727951,0.386798825500,0.000000009992,0.000000003549,0.000451916990,0.000227737767
