iter,max_change,S,max_abs_res,rms_res
115,1.39108e-08,-24.2173,4.45411e-07,1.85337e-07
116,1.23898e-08,-24.2173,3.88707e-07,1.64773e-07
117,1.10275e-08,-24.2173,3.44544e-07,1.46468e-07
118,9.80704e-09,-24.2173,3.05145e-07,1.30183e-07
119,8.68649e-09,-24.2173,2.73228e-07,1.15709e-07
120,7.72474e-09,-24.2173,2.41327e-07,1.02853e-07
121,6.86718e-09,-24.2173,2.11567e-07,9.14399e-08
122,6.09998e-09,-24.2173,1.89388e-07,8.13054e-08
123,5.42419e-09,-24.2173,1.69697e-07,7.22983e-08
124,4.82333e-09,-24.2173,1.48066e-07,6.42795e-08
125,4.28933e-09,-24.2173,1.32495e-07,5.71228e-08
126,3.81289e-09,-24.2173,1.16135e-07,5.07155e-08
127,3.38465e-09,-24.2173,1.03455e-07,4.50981e-08
128,3.00924e-09,-24.2173,9.204e-08,4.00682e-08
129,2.67241e-09,-24.2173,8.20184e-08,3.56077e-08
130,2.37693e-09,-24.2173,7.29495e-08,3.16464e-08
131,2.11191e-09,-24.2173,6.46995e-08,2.81248e-08
132,1.87752e-09,-24.2173,5.73591e-08,2.49985e-08
133,1.6684e-09,-24.2173,5.09245e-08,2.22187e-08
134,1.48309e-09,-24.2173,4.53549e-08,1.97491e-08
135,1.31806e-09,-24.2173,4.0434e-08,1.75534e-08
136,1.17174e-09,-24.2173,3.60004e-08,1.56019e-08
137,1.04139e-09,-24.2173,3.19733e-08,1.38671e-08
138,9.25425e-10,-24.2173,2.83667e-08,1.23253e-08
139,8.2229e-10,-24.2173,2.51839e-08,1.09549e-08
140,7.30835e-10,-24.2173,2.23865e-08,9.73686e-09
141,6.49588e-10,-24.2173,1.99018e-08,8.65409e-09
142,5.77409e-10,-24.2173,1.76801e-08,7.69157e-09
143,5.13194e-10,-24.2173,1.57017e-08,6.83598e-09
144,4.56123e-10,-24.2173,1.39548e-08,6.07553e-09
145,4.05385e-10,-24.2173,1.24101e-08,5.39972e-09
146,3.60292e-10,-24.2173,1.10369e-08,4.79915e-09
147,3.20222e-10,-24.2173,9.81358e-09,4.26546e-09
