omega,iterations,max_abs_res,S_error,max_abs_error
1,1906,9.98801e-09,0.852019,0.00180914
1.05,1776,9.96136e-09,0.852019,0.00180914
1.1,1657,9.95603e-09,0.852019,0.00180914
1.15,1548,9.98007e-09,0.852019,0.00180914
1.2,1450,9.99647e-09,0.852019,0.00180914
1.25,1365,9.95731e-09,0.852019,0.00180914
1.3,1293,9.959e-09,0.852019,0.00180914
1.35,1233,9.9716e-09,0.852019,0.00180914
1.4,1178,9.94978e-09,0.852019,0.00180914
1.45,1119,9.97278e-09,0.852019,0.00180914
1.5,1055,9.96169e-09,0.852019,0.00180914
1.55,985,9.97826e-09,0.852019,0.00180914
1.6,910,9.95232e-09,0.852019,0.00180914
1.65,829,9.95032e-09,0.852019,0.00180914
1.7,742,9.9388e-09,0.852019,0.00180914
1.75,648,9.92527e-09,0.852019,0.00180914
1.8,545,9.92234e-09,0.852019,0.00180914
1.85,429,9.72663e-09,0.852019,0.00180914
1.9,275,9.55141e-09,0.852019,0.00180914
