# t   T_sensor   E_supplied   E_window
2070  289.88  550  5.34361
2080  289.91  550  5.35108
2090  289.939  550  5.35848
2100  289.968  550  5.36581
2110  289.996  550  5.37307
2120  290.025  550  5.38025
2130  290.052  550  5.38736
2140  290.08  550  5.39441
2150  290.108  550  5.40138
2160  290.135  550  5.40828
2170  290.162  550  5.41511
2180  290.188  550  5.42188
2190  290.215  550  5.42858
2200  290.241  550  5.43521
2210  290.266  550  5.44177
2220  290.292  550  5.44827
2230  290.317  550  5.45471
2240  290.342  550  5.46108
2250  290.367  550  5.46739
2260  290.392  550  5.47363
2270  290.416  550  5.47982
2280  290.44  550  5.48594
2290  290.464  550  5.492
2300  290.488  550  5.498
2310  290.511  550  5.50394
2320  290.534  550  5.50982
2330  290.557  550  5.51565
2340  290.58  550  5.52141
2350  290.602  550  5.52712
2360  290.624  550  5.53277
2370  290.646  550  5.53837
2380  290.668  550  5.54391
2390  290.69  550  5.54939
2400  290.711  550  5.55482
2410  290.732  550  5.5602
2420  290.753  550  5.56552
2430  290.774  550  5.57079
2440  290.794  550  5.576
2450  290.815  550  5.58117
2460  290.835  550  5.58628
2470  290.855  550  5.59135
2480  290.874  550  5.59636
2490  290.894  550  5.60132
2500  290.913  550  5.60623
2510  290.932  550  5.6111
2520  290.951  550  5.61591
2530  290.97  550  5.62068
2540  290.989  550  5.6254
2550  291.007  550  5.63008
2560  291.025  550  5.6347
2570  291.043  550  5.63928
2580  291.061  550  5.64382
2590  291.079  550  5.64831
2600  291.096  550  5.65276
2610  291.114  550  5.65716
2620  291.131  550  5.66152
2630  291.148  550  5.66583
2640  291.165  550  5.6701
2650  291.181  550  5.67433
2660  291.198  550  5.67852
2670  291.214  550  5.68266
2680  291.23  550  5.68677
2690  291.246  550  5.69083
2700  291.262  550  5.69485
2710  291.278  550  5.69884
2720  291.293  550  5.70278
2730  291.308  550  5.70668
2740  291.324  550  5.71055
2750  291.339  550  5.71438
2760  291.354  550  5.71816
2770  291.368  550  5.72192
2780  291.383  550  5.72563
2790  291.397  550  5.72931
2800  291.412  550  5.73295
2810  291.426  550  5.73655
2820  291.44  550  5.74012
2830  291.454  550  5.74365
2840  291.468  550  5.74715
2850  291.481  550  5.75061
2860  291.495  550  5.75404
2870  291.508  550  5.75743
2880  291.521  550  5.76079
2890  291.534  550  5.76412
2900  291.547  550  5.76742
2910  291.56  550  5.77068
2920  291.573  550  5.7739
2930  291.585  550  5.7771
2940  291.598  550  5.78027
2950  291.61  550  5.7834
2960  291.622  550  5.7865
2970  291.634  550  5.78957
2980  291.646  550  5.79261
2990  291.658  550  5.79562
3000  291.67  550  5.7986
3010  291.682  550  5.80156
3020  291.693  550  5.80448
3030  291.704  550  5.80737
3040  291.716  550  5.81023
3050  291.727  550  5.81307
3060  291.738  550  5.81588
3070  291.749  550  5.81865
3080  291.76  550  5.82141
3090  291.77  550  5.82413
3100  291.781  550  5.82683
3110  291.791  550  5.8295
3120  291.802  550  5.83214
3130  291.812  550  5.83476
3140  291.822  550  5.83735
3150  291.832  550  5.83992
3160  291.842  550  5.84246
3170  291.852  550  5.84497
3180  291.862  550  5.84746
3190  291.872  550  5.84992
3200  291.881  550  5.85236
3210  291.891  550  5.85478
3220  291.9  550  5.85717
3230  291.91  550  5.85954
3240  291.919  550  5.86189
3250  291.928  550  5.86421
3260  291.937  550  5.86651
3270  291.946  550  5.86878
3280  291.955  550  5.87103
3290  291.964  550  5.87326
3300  291.972  550  5.87547
3310  291.981  550  5.87766
3320  291.989  550  5.87982
3330  291.998  550  5.88197
3340  292.006  550  5.88409
3350  292.014  550  5.88619
3360  292.023  550  5.88827
3370  292.031  550  5.89033
3380  292.039  550  5.89237
3390  292.047  550  5.89438
3400  292.054  550  5.89638
3410  292.062  550  5.89836
3420  292.07  550  5.90032
3430  292.078  550  5.90226
3440  292.085  550  5.90418
3450  292.093  550  5.90608
3460  292.1  550  5.90796
3470  292.107  550  5.90982
3480  292.115  550  5.91167
3490  292.122  550  5.9135
3500  292.129  550  5.9153
3510  292.136  550  5.91709
3520  292.143  550  5.91887
3530  292.15  550  5.92062
3540  292.157  550  5.92236
3550  292.163  550  5.92408
3560  292.17  550  5.92578
3570  292.177  550  5.92747
3580  292.183  550  5.92914
3590  292.19  550  5.93079
3600  292.196  550  5.93242
3610  292.203  550  5.93404
3620  292.209  550  5.93565
3630  292.215  550  5.93723
3640  292.221  550  5.93881
3650  292.227  550  5.94036
3660  292.234  550  5.9419
3670  292.239  550  5.94343
3680  292.245  550  5.94494
3690  292.251  550  5.94643
3700  292.257  550  5.94792
3710  292.263  550  5.94938
3720  292.269  550  5.95083
3730  292.274  550  5.95227
3740  292.28  550  5.95369
3750  292.285  550  5.9551
3760  292.291  550  5.95649
3770  292.296  550  5.95787
3780  292.302  550  5.95924
3790  292.307  550  5.96059
3800  292.312  550  5.96193
3810  292.317  550  5.96326
3820  292.323  550  5.96457
3830  292.328  550  5.96587
3840  292.333  550  5.96716
3850  292.338  550  5.96843
3860  292.343  550  5.9697
3870  292.348  550  5.97094
3880  292.353  550  5.97218
3890  292.357  550  5.9734
3900  292.362  550  5.97462
3910  292.367  550  5.97582
3920  292.372  550  5.97701
3930  292.376  550  5.97818
3940  292.381  550  5.97935
3950  292.385  550  5.9805
3960  292.39  550  5.98164
3970  292.394  550  5.98277
3980  292.399  550  5.98389
3990  292.403  550  5.985
4000  292.407  550  5.98609
4010  292.412  550  5.98718
4020  292.416  550  5.98826
4030  292.42  550  5.98932
4040  292.424  550  5.99037
4050  292.428  550  5.99142
4060  292.432  550  5.99245
4070  292.436  550  5.99347
4080  292.44  550  5.99448
4090  292.444  550  5.99549
4100  292.448  550  5.99648
4110  292.452  550  5.99746
4120  292.456  550  5.99843
4130  292.46  550  5.9994
4140  292.463  550  6.00035
4150  292.467  550  6.0013
4160  292.471  550  6.00223
4170  292.474  550  6.00316
4180  292.478  550  6.00407
4190  292.482  550  6.00498
4200  292.485  550  6.00588
4210  292.489  550  6.00677
4220  292.492  550  6.00765
4230  292.495  550  6.00852
4240  292.499  550  6.00938
4250  292.502  550  6.01023
4260  292.506  550  6.01108
4270  292.509  550  6.01192
4280  292.512  550  6.01275
4290  292.515  550  6.01357
4300  292.519  550  6.01438
4310  292.522  550  6.01518
4320  292.525  550  6.01598
4330  292.528  550  6.01677
4340  292.531  550  6.01755
4350  292.534  550  6.01832
4360  292.537  550  6.01909
4370  292.54  550  6.01985
4380  292.543  550  6.0206
4390  292.546  550  6.02134
4400  292.549  550  6.02207
4410  292.552  550  6.0228
4420  292.555  550  6.02352
4430  292.557  550  6.02424
4440  292.56  550  6.02494
4450  292.563  550  6.02564
