0 0 292.909
0 1 292.909
0 2 292.983
0 3 293.05
0 4 293.11
0 5 293.165
0 6 293.213
0 7 293.255
0 8 293.292
0 9 293.322
0 10 293.346
0 11 293.364
0 12 293.376
0 13 293.383
0 14 293.384
0 15 293.38
0 16 293.37
0 17 293.355
0 18 293.336
0 19 293.311
0 20 293.282
0 21 293.248
0 22 293.21
0 23 293.168
0 24 293.123
0 25 293.074
0 26 293.021
0 27 292.965
0 28 292.907
0 29 292.846
0 30 292.783
0 31 292.717
0 32 292.65
0 33 292.581
0 34 292.51
0 35 292.438
0 36 292.365
0 37 292.292
0 38 292.217
0 39 292.142
0 40 292.067
0 41 291.991
0 42 291.916
0 43 291.84
0 44 291.765
0 45 291.689
0 46 291.615
0 47 291.54
0 48 291.466
0 49 291.392
0 50 291.392

1 0 292.909
1 1 292.989
1 2 293.062
1 3 293.13
1 4 293.191
1 5 293.245
1 6 293.294
1 7 293.336
1 8 293.373
1 9 293.403
1 10 293.427
1 11 293.445
1 12 293.458
1 13 293.465
1 14 293.466
1 15 293.461
1 16 293.452
1 17 293.437
1 18 293.417
1 19 293.392
1 20 293.363
1 21 293.329
1 22 293.291
1 23 293.249
1 24 293.203
1 25 293.154
1 26 293.101
1 27 293.045
1 28 292.987
1 29 292.925
1 30 292.862
1 31 292.796
1 32 292.728
1 33 292.659
1 34 292.588
1 35 292.516
1 36 292.443
1 37 292.369
1 38 292.294
1 39 292.219
1 40 292.143
1 41 292.067
1 42 291.991
1 43 291.916
1 44 291.84
1 45 291.764
1 46 291.689
1 47 291.614
1 48 291.54
1 49 291.466
1 50 291.392

2 0 292.995
2 1 293.075
2 2 293.149
2 3 293.216
2 4 293.277
2 5 293.332
2 6 293.381
2 7 293.424
2 8 293.46
2 9 293.49
2 10 293.514
2 11 293.533
2 12 293.545
2 13 293.552
2 14 293.553
2 15 293.548
2 16 293.538
2 17 293.523
2 18 293.503
2 19 293.478
2 20 293.448
2 21 293.414
2 22 293.376
2 23 293.333
2 24 293.287
2 25 293.237
2 26 293.184
2 27 293.128
2 28 293.069
2 29 293.007
2 30 292.943
2 31 292.877
2 32 292.809
2 33 292.739
2 34 292.667
2 35 292.595
2 36 292.521
2 37 292.447
2 38 292.371
2 39 292.296
2 40 292.22
2 41 292.143
2 42 292.067
2 43 291.991
2 44 291.915
2 45 291.839
2 46 291.763
2 47 291.688
2 48 291.613
2 49 291.539
2 50 291.465

3 0 293.087
3 1 293.167
3 2 293.241
3 3 293.309
3 4 293.37
3 5 293.425
3 6 293.474
3 7 293.517
3 8 293.553
3 9 293.584
3 10 293.608
3 11 293.626
3 12 293.638
3 13 293.644
3 14 293.645
3 15 293.64
3 16 293.63
3 17 293.615
3 18 293.594
3 19 293.569
3 20 293.538
3 21 293.504
3 22 293.465
3 23 293.422
3 24 293.375
3 25 293.324
3 26 293.271
3 27 293.214
3 28 293.154
3 29 293.091
3 30 293.027
3 31 292.96
3 32 292.891
3 33 292.82
3 34 292.748
3 35 292.675
3 36 292.6
3 37 292.525
3 38 292.449
3 39 292.373
3 40 292.296
3 41 292.219
3 42 292.143
3 43 292.066
3 44 291.989
3 45 291.913
3 46 291.837
3 47 291.761
3 48 291.686
3 49 291.611
3 50 291.537

4 0 293.185
4 1 293.265
4 2 293.34
4 3 293.408
4 4 293.469
4 5 293.525
4 6 293.574
4 7 293.616
4 8 293.653
4 9 293.683
4 10 293.707
4 11 293.725
4 12 293.737
4 13 293.743
4 14 293.743
4 15 293.738
4 16 293.727
4 17 293.711
4 18 293.69
4 19 293.664
4 20 293.633
4 21 293.598
4 22 293.558
4 23 293.514
4 24 293.466
4 25 293.415
4 26 293.36
4 27 293.302
4 28 293.241
4 29 293.178
4 30 293.112
4 31 293.044
4 32 292.974
4 33 292.903
4 34 292.83
4 35 292.756
4 36 292.68
4 37 292.604
4 38 292.528
4 39 292.451
4 40 292.373
4 41 292.296
4 42 292.218
4 43 292.141
4 44 292.063
4 45 291.987
4 46 291.91
4 47 291.834
4 48 291.759
4 49 291.684
4 50 291.609

5 0 293.289
5 1 293.37
5 2 293.445
5 3 293.513
5 4 293.575
5 5 293.631
5 6 293.68
5 7 293.722
5 8 293.758
5 9 293.789
5 10 293.812
5 11 293.83
5 12 293.842
5 13 293.847
5 14 293.847
5 15 293.841
5 16 293.83
5 17 293.813
5 18 293.791
5 19 293.764
5 20 293.732
5 21 293.696
5 22 293.655
5 23 293.61
5 24 293.561
5 25 293.508
5 26 293.453
5 27 293.393
5 28 293.331
5 29 293.267
5 30 293.2
5 31 293.131
5 32 293.06
5 33 292.987
5 34 292.913
5 35 292.838
5 36 292.761
5 37 292.684
5 38 292.607
5 39 292.528
5 40 292.45
5 41 292.372
5 42 292.293
5 43 292.215
5 44 292.137
5 45 292.06
5 46 291.983
5 47 291.907
5 48 291.831
5 49 291.755
5 50 291.681

6 0 293.4
6 1 293.481
6 2 293.556
6 3 293.625
6 4 293.687
6 5 293.743
6 6 293.792
6 7 293.834
6 8 293.871
6 9 293.9
6 10 293.924
6 11 293.941
6 12 293.952
6 13 293.957
6 14 293.956
6 15 293.95
6 16 293.938
6 17 293.92
6 18 293.897
6 19 293.869
6 20 293.836
6 21 293.798
6 22 293.756
6 23 293.71
6 24 293.659
6 25 293.606
6 26 293.548
6 27 293.488
6 28 293.424
6 29 293.358
6 30 293.29
6 31 293.219
6 32 293.147
6 33 293.073
6 34 292.997
6 35 292.92
6 36 292.843
6 37 292.765
6 38 292.686
6 39 292.607
6 40 292.527
6 41 292.448
6 42 292.369
6 43 292.29
6 44 292.211
6 45 292.133
6 46 292.055
6 47 291.978
6 48 291.902
6 49 291.826
6 50 291.751

7 0 293.517
7 1 293.599
7 2 293.674
7 3 293.743
7 4 293.806
