t,x_alpha_0.0001000000,x_alpha_0.1000000000,x_alpha_0.5000000000,x_alpha_1.9500000000
0.3900000000,0.9249100335,0.9258733341,0.9295491622,0.9407728595
0.3950000000,0.9229975756,0.9239978842,0.9278126063,0.9394360853
0.4000000000,0.9210620437,0.9221002777,0.9260572202,0.9380889097
0.4050000000,0.9191034863,0.9201805731,0.9242830945,0.9367314669
0.4100000000,0.9171219523,0.9182388294,0.9224903205,0.9353638905
0.4150000000,0.9151174913,0.9162751062,0.9206789894,0.9339863127
0.4200000000,0.9130901535,0.9142894634,0.9188491927,0.9325988648
0.4250000000,0.9110399894,0.9122819618,0.9170010224,0.9312016773
0.4300000000,0.9089670504,0.9102526623,0.9151345704,0.9297948792
0.4350000000,0.9068713884,0.9082016267,0.9132499289,0.9283785989
0.4400000000,0.9047530556,0.9061289170,0.9113471905,0.9269529636
0.4450000000,0.9026121052,0.9040345959,0.9094264478,0.9255180996
0.4500000000,0.9004485906,0.9019187265,0.9074877937,0.9240741320
0.4550000000,0.8982625658,0.8997813725,0.9055313214,0.9226211851
0.4600000000,0.8960540857,0.8976225981,0.9035571242,0.9211593822
0.4650000000,0.8938232054,0.8954424678,0.9015652957,0.9196888456
0.4700000000,0.8915699806,0.8932410470,0.8995559296,0.9182096966
0.4750000000,0.8892944678,0.8910184011,0.8975291199,0.9167220556
0.4800000000,0.8869967238,0.8887745965,0.8954849607,0.9152260420
0.4850000000,0.8846768061,0.8865096997,0.8934235464,0.9137217742
0.4900000000,0.8823347727,0.8842237780,0.8913449716,0.9122093698
0.4950000000,0.8799706822,0.8819168989,0.8892493309,0.9106889452
0.5000000000,0.8775845936,0.8795891305,0.8871367194,0.9091606163
0.5050000000,0.8751765666,0.8772405416,0.8850072322,0.9076244976
0.5100000000,0.8727466615,0.8748712012,0.8828609645,0.9060807030
0.5150000000,0.8702949390,0.8724811789,0.8806980119,0.9045293453
0.5200000000,0.8678214604,0.8700705448,0.8785184700,0.9029705366
0.5250000000,0.8653262875,0.8676393694,0.8763224347,0.9014043878
0.5300000000,0.8628094828,0.8651877238,0.8741100019,0.8998310093
0.5350000000,0.8602711091,0.8627156794,0.8718812680,0.8982505103
0.5400000000,0.8577112300,0.8602233084,0.8696363291,0.8966629991
0.5450000000,0.8551299094,0.8577106830,0.8673752818,0.8950685834
0.5500000000,0.8525272120,0.8551778763,0.8650982229,0.8934673697
0.5550000000,0.8499032027,0.8526249615,0.8628052491,0.8918594639
0.5600000000,0.8472579471,0.8500520127,0.8604964574,0.8902449709
0.5650000000,0.8445915115,0.8474591041,0.8581719450,0.8886239948
0.5700000000,0.8419039625,0.8448463105,0.8558318092,0.8869966388
0.5750000000,0.8391953673,0.8422137071,0.8534761473,0.8853630054
0.5800000000,0.8364657937,0.8395613697,0.8511050571,0.8837231959
0.5850000000,0.8337153097,0.8368893743,0.8487186362,0.8820773113
0.5900000000,0.8309439844,0.8341977976,0.8463169824,0.8804254513
0.5950000000,0.8281518868,0.8314867168,0.8439001938,0.8787677151
0.6000000000,0.8253390869,0.8287562091,0.8414683686,0.8771042008
0.6050000000,0.8225056550,0.8260063528,0.8390216049,0.8754350060
0.6100000000,0.8196516619,0.8232372260,0.8365600012,0.8737602273
0.6150000000,0.8167771790,0.8204489077,0.8340836560,0.8720799605
0.6200000000,0.8138822781,0.8176414772,0.8315926679,0.8703943007
0.6250000000,0.8109670317,0.8148150141,0.8290871357,0.8687033421
0.6300000000,0.8080315126,0.8119695987,0.8265671582,0.8670071782
0.6350000000,0.8050757943,0.8091053116,0.8240328345,0.8653059018
0.6400000000,0.8020999505,0.8062222336,0.8214842637,0.8635996048
0.6450000000,0.7991040558,0.8033204464,0.8189215449,0.8618883782
0.6500000000,0.7960881851,0.8004000318,0.8163447774,0.8601723126
0.6550000000,0.7930524137,0.7974610720,0.8137540608,0.8584514976
0.6600000000,0.7899968175,0.7945036499,0.8111494945,0.8567260220
0.6650000000,0.7869214730,0.7915278485,0.8085311780,0.8549959740
0.6700000000,0.7838264571,0.7885337514,0.8058992112,0.8532614410
0.6750000000,0.7807118471,0.7855214426,0.8032536939,0.8515225098
0.6800000000,0.7775777208,0.7824910065,0.8005947258,0.8497792661
0.6850000000,0.7744241568,0.7794425279,0.7979224070,0.8480317953
0.6900000000,0.7712512338,0.7763760921,0.7952368376,0.8462801817
0.6950000000,0.7680590311,0.7732917845,0.7925381176,0.8445245093
0.7000000000,0.7648476286,0.7701896913,0.7898263474,0.8427648610
0.7050000000,0.7616171066,0.7670698989,0.7871016272,0.8410013193
0.7100000000,0.7583675457,0.7639324940,0.7843640573,0.8392339657
0.7150000000,0.7550990274,0.7607775640,0.7816137383,0.8374628812
0.7200000000,0.7518116333,0.7576051964,0.7788507705,0.8356881460
0.7250000000,0.7485054455,0.7544154792,0.7760752547,0.8339098398
0.7300000000,0.7451805469,0.7512085008,0.7732872913,0.8321280415
0.7350000000,0.7418370204,0.7479843501,0.7704869812,0.8303428292
0.7400000000,0.7384749497,0.7447431161,0.7676744250,0.8285542804
0.7450000000,0.7350944188,0.7414848885,0.7648497236,0.8267624722
0.7500000000,0.7316955124,0.7382097571,0.7620129778,0.8249674806
0.7550000000,0.7282783152,0.7349178123,0.7591642885,0.8231693811
0.7600000000,0.7248429129,0.7316091447,0.7563037567,0.8213682488
0.7650000000,0.7213893913,0.7282838454,0.7534314833,0.8195641578
0.7700000000,0.7179178367,0.7249420059,0.7505475694,0.8177571817
0.7750000000,0.7144283359,0.7215837179,0.7476521161,0.8159473935
0.7800000000,0.7109209762,0.7182090735,0.7447452244,0.8141348654
0.7850000000,0.7073958453,0.7148181654,0.7418269956,0.8123196692
0.7900000000,0.7038530313,0.7114110863,0.7388975308,0.8105018759
0.7950000000,0.7002926227,0.7079879295,0.7359569311,0.8086815559
0.8000000000,0.6967147087,0.7045487887,0.7330052979,0.8068587790
0.8050000000,0.6931193787,0.7010937577,0.7300427323,0.8050336145
0.8100000000,0.6895067225,0.6976229309,0.7270693356,0.8032061308
0.8150000000,0.6858768304,0.6941364029,0.7240852092,0.8013763959
0.8200000000,0.6822297933,0.6906342687,0.7210904543,0.7995444773
0.8250000000,0.6785657024,0.6871166236,0.7180851722,0.7977104416
0.8300000000,0.6748846491,0.6835835633,0.7150694642,0.7958743551
0.8350000000,0.6711867256,0.6800351838,0.7120434318,0.7940362833
0.8400000000,0.6674720244,0.6764715814,0.7090071761,0.7921962912
0.8450000000,0.6637406382,0.6728928529,0.7059607986,0.7903544432
0.8500000000,0.6599926604,0.6692990952,0.7029044006,0.7885108032
0.8550000000,0.6562281847,0.6656904057,0.6998380834,0.7866654344
0.8600000000,0.6524473053,0.6620668820,0.6967619484,0.7848183995
0.8650000000,0.6486501166,0.6584286222,0.6936760969,0.7829697605
0.8700000000,0.6448367135,0.6547757244,0.6905806301,0.7811195792
0.8750000000,0.6410071915,0.6511082873,0.6874756494,0.7792679164
0.8800000000,0.6371616463,0.6474264100,0.6843612561,0.7774148325
0.8850000000,0.6333001739,0.6437301915,0.6812375514,0.7755603876
0.8900000000,0.6294228711,0.6400197314,0.6781046366,0.7737046409
0.8950000000,0.6255298346,0.6362951297,0.6749626129,0.7718476512
0.9000000000,0.6216211619,0.6325564864,0.6718115815,0.7699894768
0.9050000000,0.6176969507,0.6288039021,0.6686516436,0.7681301754
0.9100000000,0.6137572990,0.6250374774,0.6654829002,0.7662698042
0.9150000000,0.6098023054,0.6212573135,0.6623054526,0.7644084198
0.9200000000,0.6058320687,0.6174635117,0.6591194017,0.7625460785
0.9250000000,0.6018466883,0.6136561736,0.6559248487,0.7606828358
0.9300000000,0.5978462637,0.6098354012,0.6527218944,0.7588187468
0.9350000000,0.5938308950,0.6060012966,0.6495106399,0.7569538661
0.9400000000,0.5898006826,0.6021539624,0.6462911860,0.7550882477
0.9450000000,0.5857557272,0.5982935014,0.6430636337,0.7532219454
0.9500000000,0.5816961300,0.5944200165,0.6398280837,0.7513550120
0.9550000000,0.5776219924,0.5905336111,0.6365846368,0.7494875003
0.9600000000,0.5735334164,0.5866343888,0.6333333936,0.7476194622
0.9650000000,0.5694305041,0.5827224534,0.6300744549,0.7457509493
0.9700000000,0.5653133581,0.5787979092,0.6268079212,0.7438820128
0.9750000000,0.5611820814,0.5748608604,0.6235338931,0.7420127032
0.9800000000,0.5570367772,0.5709114118,0.6202524709,0.7401430707
0.9850000000,0.5528775492,0.5669496682,0.6169637552,0.7382731649
0.9900000000,0.5487045014,0.5629757348,0.6136678461,0.7364030350
0.9950000000,0.5445177381,0.5589897171,0.6103648441,0.7345327296
1.0000000000,0.5403173639,0.5549917206,0.6070548492,0.7326622971
1.0050000000,0.5361034840,0.5509818514,0.6037379615,0.7307917852
1.0100000000,0.5318762036,0.5469602155,0.6004142812,0.7289212411
1.0150000000,0.5276356285,0.5429269193,0.5970839081,0.7270507118
1.0200000000,0.5233818646,0.5388820696,0.5937469421,0.7251802437
1.0250000000,0.5191150183,0.5348257731,0.5904034831,0.7233098826
1.0300000000,0.5148351963,0.5307581369,0.5870536306,0.7214396741
1.0350000000,0.5105425056,0.5266792685,0.5836974843,0.7195696632
1.0400000000,0.5062370536,0.5225892753,0.5803351437,0.7176998945
1.0450000000,0.5019189477,0.5184882652,0.5769667082,0.7158304122
1.0500000000,0.4975882961,0.5143763462,0.5735922771,0.7139612600
1.0550000000,0.4932452070,0.5102536264,0.5702119498,0.7120924812
1.0600000000,0.4888897889,0.5061202143,0.5668258252,0.7102241187
1.0650000000,0.4845221509,0.5019762186,0.5634340025,0.7083562149
1.0700000000,0.4801424019,0.4978217482,0.5600365805,0.7064888119
1.0750000000,0.4757506517,0.4936569120,0.5566336581,0.7046219513
1.0800000000,0.4713470098,0.4894818195,0.5532253339,0.7027556741
1.0850000000,0.4669315866,0.4852965800,0.5498117065,0.7008900213
1.0900000000,0.4625044923,0.4811013032,0.5463928744,0.6990250331
1.0950000000,0.4580658376,0.4768960990,0.5429689361,0.6971607496
1.1000000000,0.4536157335,0.4726810776,0.5395399896,0.6952972101
1.1050000000,0.4491542912,0.4684563490,0.5361061332,0.6934344540
1.1100000000,0.4446816224,0.4642220239,0.5326674648,0.6915725199
1.1150000000,0.4401978388,0.4599782128,0.5292240823,0.6897114462
1.1200000000,0.4357030525,0.4557250264,0.5257760835,0.6878512708
1.1250000000,0.4311973759,0.4514625759,0.5223235659,0.6859920313
1.1300000000,0.4266809217,0.4471909724,0.5188666271,0.6841337649
1.1350000000,0.4221538027,0.4429103271,0.5154053644,0.6822765083
1.1400000000,0.4176161321,0.4386207517,0.5119398751,0.6804202980
1.1450000000,0.4130680235,0.4343223578,0.5084702561,0.6785651700
1.1500000000,0.4085095904,0.4300152572,0.5049966046,0.6767111599
1.1550000000,0.4039409469,0.4256995620,0.5015190171,0.6748583031
1.1600000000,0.3993622072,0.4213753842,0.4980375906,0.6730066344
1.1650000000,0.3947734858,0.4170428363,0.4945524213,0.6711561883
1.1700000000,0.3901748973,0.4127020307,0.4910636057,0.6693069991
1.1750000000,0.3855665568,0.4083530800,0.4875712401,0.6674591006
1.1800000000,0.3809485794,0.4039960969,0.4840754204,0.6656125261
1.1850000000,0.3763210807,0.3996311945,0.4805762427,0.6637673089
1.1900000000,0.3716841762,0.3952584857,0.4770738025,0.6619234816
1.1950000000,0.3670379820,0.3908780837,0.4735681956,0.6600810766
1.2000000000,0.3623826142,0.3864901019,0.4700595174,0.6582401259
1.2050000000,0.3577181892,0.3820946537,0.4665478631,0.6564006613
1.2100000000,0.3530448236,0.3776918527,0.4630333279,0.6545627141
1.2150000000,0.3483626342,0.3732818127,0.4595160068,0.6527263153
1.2200000000,0.3436717381,0.3688646474,0.4559959944,0.6508914955
1.2250000000,0.3389722526,0.3644404709,0.4524733854,0.6490582851
1.2300000000,0.3342642951,0.3600093972,0.4489482742,0.6472267141
1.2350000000,0.3295479834,0.3555715405,0.4454207552,0.6453968121
1.2400000000,0.3248234354,0.3511270152,0.4418909223,0.6435686085
1.2450000000,0.3200907692,0.3466759356,0.4383588696,0.6417421323
1.2500000000,0.3153501031,0.3422184162,0.4348246907,0.6399174121
1.2550000000,0.3106015557,0.3377545718,0.4312884792,0.6380944763
1.2600000000,0.3058452455,0.3332845170,0.4277503284,0.6362733530
1.2650000000,0.3010812917,0.3288083666,0.4242103316,0.6344540698
1.2700000000,0.2963098132,0.3243262356,0.4206685818,0.6326366542
1.2750000000,0.2915309294,0.3198382390,0.4171251717,0.6308211332
1.2800000000,0.2867447597,0.3153444919,0.4135801940,0.6290075338
1.2850000000,0.2819514238,0.3108451095,0.4100337411,0.6271958822
1.2900000000,0.2771510415,0.3063402071,0.4064859052,0.6253862047
1.2950000000,0.2723437329,0.3018299000,0.4029367785,0.6235785272
1.3000000000,0.2675296181,0.2973143036,0.3993864526,0.6217728753
1.3050000000,0.2627088175,0.2927935334,0.3958350193,0.6199692741
1.3100000000,0.2578814516,0.2882677051,0.3922825700,0.6181677488
1.3150000000,0.2530476411,0.2837369343,0.3887291959,0.6163683238
1.3200000000,0.2482075068,0.2792013366,0.3851749881,0.6145710237
1.3250000000,0.2433611697,0.2746610279,0.3816200374,0.6127758726
1.3300000000,0.2385087511,0.2701161240,0.3780644344,0.6109828942
1.3350000000,0.2336503722,0.2655667408,0.3745082695,0.6091921121
1.3400000000,0.2287861545,0.2610129942,0.3709516329,0.6074035495
1.3450000000,0.2239162196,0.2564550002,0.3673946147,0.6056172294
1.3500000000,0.2190406892,0.2518928749,0.3638373045,0.6038331744
1.3550000000,0.2141596852,0.2473267344,0.3602797919,0.6020514070
1.3600000000,0.2092733297,0.2427566947,0.3567221662,0.6002719493
1.3650000000,0.2043817448,0.2381828721,0.3531645166,0.5984948232
1.3700000000,0.1994850529,0.2336053828,0.3496069320,0.5967200502
