# elem xi1 xi2 x y psi_FEM psi_exact difference
       1 -1.000000000000 -1.000000000000  0.000000000000  0.000000000000  0.000000000000 -0.000000000000  0.000000000000
       1 -1.000000000000 -0.800000000000  0.000000000000  0.125000000000 -0.007488107532 -0.001233783963 -0.006254323569
       1 -1.000000000000 -0.600000000000  0.000000000000  0.250000000000 -0.014976215064 -0.004824354118 -0.010151860946
       1 -1.000000000000 -0.400000000000  0.000000000000  0.375000000000 -0.022464322596 -0.010470513868 -0.011993808728
       1 -1.000000000000 -0.200000000000  0.000000000000  0.500000000000 -0.029952430128 -0.017757199605 -0.012195230522
       1 -1.000000000000  0.000000000000  0.000000000000  0.625000000000 -0.037440537660 -0.026240932763 -0.011199604896
       1 -1.000000000000  0.200000000000  0.000000000000  0.750000000000 -0.044928645192 -0.035514399211 -0.009414245981
       1 -1.000000000000  0.400000000000  0.000000000000  0.875000000000 -0.052416752724 -0.045240169401 -0.007176583322
       1 -1.000000000000  0.600000000000  0.000000000000  1.000000000000 -0.059904860255 -0.055158900038 -0.004745960217
       1 -1.000000000000  0.800000000000  0.000000000000  1.125000000000 -0.067392967787 -0.065082487550 -0.002310480237
       1 -1.000000000000  1.000000000000  0.000000000000  1.250000000000 -0.074881075319 -0.074881075319  0.000000000000
       1 -0.800000000000 -1.000000000000  0.125000000000  0.000000000000 -0.012906355241 -0.018745752337  0.005839397096
       1 -0.800000000000 -0.800000000000  0.125000000000  0.125000000000 -0.019844924844 -0.019722175281 -0.000122749563
       1 -0.800000000000 -0.600000000000  0.125000000000  0.250000000000 -0.026783494447 -0.022581553723 -0.004201940724
       1 -0.800000000000 -0.400000000000  0.125000000000  0.375000000000 -0.033722064050 -0.027130075774 -0.006591988276
       1 -0.800000000000 -0.200000000000  0.125000000000  0.500000000000 -0.040660633653 -0.033090532494 -0.007570101159
       1 -0.800000000000  0.000000000000  0.125000000000  0.625000000000 -0.047599203256 -0.040151291589 -0.007447911667
       1 -0.800000000000  0.200000000000  0.125000000000  0.750000000000 -0.054537772859 -0.048008360564 -0.006529412295
       1 -0.800000000000  0.400000000000  0.125000000000  0.875000000000 -0.061476342462 -0.056392684001 -0.005083658461
       1 -0.800000000000  0.600000000000  0.125000000000  1.000000000000 -0.068414912065 -0.065082487550 -0.003332424515
       1 -0.800000000000  0.800000000000  0.125000000000  1.125000000000 -0.075353481668 -0.073904652375 -0.001448829293
       1 -0.800000000000  1.000000000000  0.125000000000  1.250000000000 -0.082292051271 -0.082729849358  0.000437798087
       1 -0.600000000000 -1.000000000000  0.250000000000  0.000000000000 -0.025812710483 -0.035514399211  0.009701688728
       1 -0.600000000000 -0.800000000000  0.250000000000  0.125000000000 -0.032201742157 -0.036306221381  0.004104479224
       1 -0.600000000000 -0.600000000000  0.250000000000  0.250000000000 -0.038590773831 -0.038635484396  0.000044710565
       1 -0.600000000000 -0.400000000000  0.250000000000  0.375000000000 -0.044979805505 -0.042372202381 -0.002607603123
       1 -0.600000000000 -0.200000000000  0.250000000000  0.500000000000 -0.051368837179 -0.047325287945 -0.004043549234
       1 -0.600000000000  0.000000000000  0.250000000000  0.625000000000 -0.057757868853 -0.053271598816 -0.004486270037
       1 -0.600000000000  0.200000000000  0.250000000000  0.750000000000 -0.064146900527 -0.059983254156 -0.004163646371
       1 -0.600000000000  0.400000000000  0.250000000000  0.875000000000 -0.070535932201 -0.067247994550 -0.003287937651
       1 -0.600000000000  0.600000000000  0.250000000000  1.000000000000 -0.076924963875 -0.074881075319 -0.002043888555
       1 -0.600000000000  0.800000000000  0.250000000000  1.125000000000 -0.083313995549 -0.082729849358 -0.000584146190
       1 -0.600000000000  1.000000000000  0.250000000000  1.250000000000 -0.089703027223 -0.090673299249  0.000970272026
       1 -0.400000000000 -1.000000000000  0.375000000000  0.000000000000 -0.038719065724 -0.050683485454  0.011964419730
       1 -0.400000000000 -0.800000000000  0.375000000000  0.125000000000 -0.044558559469 -0.051338447764  0.006779888295
       1 -0.400000000000 -0.600000000000  0.375000000000  0.250000000000 -0.050398053214 -0.053271598816  0.002873545602
       1 -0.400000000000 -0.400000000000  0.375000000000  0.375000000000 -0.056237546959 -0.056392684001  0.000155137042
       1 -0.400000000000 -0.200000000000  0.375000000000  0.500000000000 -0.062077040704 -0.060566241903 -0.001510798801
       1 -0.400000000000  0.000000000000  0.375000000000  0.625000000000 -0.067916534449 -0.065629413906 -0.002287120543
       1 -0.400000000000  0.200000000000  0.375000000000  0.750000000000 -0.073756028194 -0.071409856475 -0.002346171719
       1 -0.400000000000  0.400000000000  0.375000000000  0.875000000000 -0.079595521939 -0.077740453761 -0.001855068178
       1 -0.400000000000  0.600000000000  0.375000000000  1.000000000000 -0.085435015684 -0.084469316901 -0.000965698783
       1 -0.400000000000  0.800000000000  0.375000000000  1.125000000000 -0.091274509429 -0.091465121419  0.000190611990
       1 -0.400000000000  1.000000000000  0.375000000000  1.250000000000 -0.097114003174 -0.098618738551  0.001504735377
       1 -0.200000000000 -1.000000000000  0.500000000000  0.000000000000 -0.051625420965 -0.064531776207  0.012906355241
       1 -0.200000000000 -0.800000000000  0.500000000000  0.125000000000 -0.056915376781 -0.065082487550  0.008167110769
       1 -0.200000000000 -0.600000000000  0.500000000000  0.250000000000 -0.062205332598 -0.066712117296  0.004506784698
       1 -0.200000000000 -0.400000000000  0.500000000000  0.375000000000 -0.067495288414 -0.069356130324  0.001860841911
       1 -0.200000000000 -0.200000000000  0.500000000000  0.500000000000 -0.072785244230 -0.072916099644  0.000130855414
       1 -0.200000000000  0.000000000000  0.500000000000  0.625000000000 -0.078075200046 -0.077270968791 -0.000804231254
       1 -0.200000000000  0.200000000000  0.500000000000  0.750000000000 -0.083365155862 -0.082288975812 -0.001076180050
       1 -0.200000000000  0.400000000000  0.500000000000  0.875000000000 -0.088655111678 -0.087838178534 -0.000816933144
       1 -0.200000000000  0.600000000000  0.500000000000  1.000000000000 -0.093945067494 -0.093794384434 -0.000150683060
       1 -0.200000000000  0.800000000000  0.500000000000  1.125000000000 -0.099235023310 -0.100046175417  0.000811152107
       1 -0.200000000000  1.000000000000  0.500000000000  1.250000000000 -0.104524979126 -0.106497347803  0.001972368676
       1  0.000000000000 -1.000000000000  0.625000000000  0.000000000000 -0.064531776207 -0.077270968791  0.012739192585
       1  0.000000000000 -0.800000000000  0.625000000000  0.125000000000 -0.069272194094 -0.077740453761  0.008468259667
       1  0.000000000000 -0.600000000000  0.625000000000  0.250000000000 -0.074012611981 -0.079132515000  0.005119903019
       1  0.000000000000 -0.400000000000  0.625000000000  0.375000000000 -0.078753029868 -0.081399832802  0.002646802934
       1  0.000000000000 -0.200000000000  0.625000000000  0.500000000000 -0.083493447755 -0.084469316901  0.000975869146
       1  0.000000000000  0.000000000000  0.625000000000  0.625000000000 -0.088233865642 -0.088249432532  0.000015566890
       1  0.000000000000  0.200000000000  0.625000000000  0.750000000000 -0.092974283529 -0.092638274925 -0.000336008605
       1  0.000000000000  0.400000000000  0.625000000000  0.875000000000 -0.097714701417 -0.097531102419 -0.000183598997
       1  0.000000000000  0.600000000000  0.625000000000  1.000000000000 -0.102455119304 -0.102826457206  0.000371337902
       1  0.000000000000  0.800000000000  0.625000000000  1.125000000000 -0.107195537191 -0.108430498854  0.001234961663
       1  0.000000000000  1.000000000000  0.625000000000  1.250000000000 -0.111935955078 -0.114259585389  0.002323630311
       1  0.200000000000 -1.000000000000  0.750000000000  0.000000000000 -0.077438131448 -0.089065618882  0.011627487434
       1  0.200000000000 -0.800000000000  0.750000000000  0.125000000000 -0.081629011406 -0.089470594166  0.007841582760
       1  0.200000000000 -0.600000000000  0.750000000000  0.250000000000 -0.085819891364 -0.090673299249  0.004853407885
       1  0.200000000000 -0.400000000000  0.750000000000  0.375000000000 -0.090010771323 -0.092638274925  0.002627503602
       1  0.200000000000 -0.200000000000  0.750000000000  0.500000000000 -0.094201651281 -0.095310191627  0.001108540346
       1  0.200000000000  0.000000000000  0.750000000000  0.625000000000 -0.098392531239 -0.098618738551  0.000226207313
       1  0.200000000000  0.200000000000  0.750000000000  0.750000000000 -0.102583411197 -0.102484187983 -0.000099223214
       1  0.200000000000  0.400000000000  0.750000000000  0.875000000000 -0.106774291155 -0.106822818488  0.000048527332
       1  0.200000000000  0.600000000000  0.750000000000  1.000000000000 -0.110965171113 -0.111551584039  0.000586412926
       1  0.200000000000  0.800000000000  0.750000000000  1.125000000000 -0.115156051071 -0.116591692844  0.001435641772
       1  0.200000000000  1.000000000000  0.750000000000  1.250000000000 -0.119346931030 -0.121871017334  0.002524086304
       1  0.400000000000 -1.000000000000  0.875000000000  0.000000000000 -0.090344486689 -0.100046175417  0.009701688728
       1  0.400000000000 -0.800000000000  0.875000000000  0.125000000000 -0.093985828719 -0.100399069439  0.006413240721
       1  0.400000000000 -0.600000000000  0.875000000000  0.250000000000 -0.097627170748 -0.101448457897  0.003821287150
       1  0.400000000000 -0.400000000000  0.875000000000  0.375000000000 -0.101268512777 -0.103167260602  0.001898747825
       1  0.400000000000 -0.200000000000  0.875000000000  0.500000000000 -0.104909854806 -0.105512871681  0.000603016875
       1  0.400000000000  0.000000000000  0.875000000000  0.625000000000 -0.108551196835 -0.108430498854 -0.000120697981
       1  0.400000000000  0.200000000000  0.875000000000  0.750000000000 -0.112192538865 -0.111857064152 -0.000335474713
       1  0.400000000000  0.400000000000  0.875000000000  0.875000000000 -0.115833880894 -0.115725141941 -0.000108738953
       1  0.400000000000  0.600000000000  0.875000000000  1.000000000000 -0.119475222923 -0.119966508311  0.000491285389
       1  0.400000000000  0.800000000000  0.875000000000  1.125000000000 -0.123116564952 -0.124515030362  0.001398465410
       1  0.400000000000  1.000000000000  0.875000000000  1.250000000000 -0.126757906981 -0.129308783645  0.002550876663
       1  0.600000000000 -1.000000000000  1.000000000000  0.000000000000 -0.103250841931 -0.110317800076  0.007066958146
       1  0.600000000000 -0.800000000000  1.000000000000  0.125000000000 -0.106342646031 -0.110628044023  0.004285397992
       1  0.600000000000 -0.600000000000  1.000000000000  0.250000000000 -0.109434450131 -0.111551584039  0.002117133908
       1  0.600000000000 -0.400000000000  1.000000000000  0.375000000000 -0.112526254231 -0.113067391233  0.000541137001
       1  0.600000000000 -0.200000000000  1.000000000000  0.500000000000 -0.115618058332 -0.115142154194 -0.000475904138
       1  0.600000000000  0.000000000000  1.000000000000  0.625000000000 -0.118709862432 -0.117732608036 -0.000977254396
       1  0.600000000000  0.200000000000  1.000000000000  0.750000000000 -0.121801666532 -0.120788313944 -0.001013352588
       1  0.600000000000  0.400000000000  1.000000000000  0.875000000000 -0.124893470632 -0.124254547408 -0.000638923224
       1  0.600000000000  0.600000000000  1.000000000000  1.000000000000 -0.127985274733 -0.128074999682  0.000089724949
       1  0.600000000000  0.800000000000  1.000000000000  1.125000000000 -0.131077078833 -0.132194083556  0.001117004723
       1  0.600000000000  1.000000000000  1.000000000000  1.250000000000 -0.134168882933 -0.136558732840  0.002389849907
       1  0.800000000000 -1.000000000000  1.125000000000  0.000000000000 -0.116157197172 -0.119966508311  0.003809311139
       1  0.800000000000 -0.800000000000  1.125000000000  0.125000000000 -0.118699463343 -0.120241387588  0.001541924245
       1  0.800000000000 -0.600000000000  1.125000000000  0.250000000000 -0.121241729515 -0.121060373941 -0.000181355573
       1  0.800000000000 -0.400000000000  1.125000000000  0.375000000000 -0.123783995686 -0.122406894588 -0.001377101098
       1  0.800000000000 -0.200000000000  1.125000000000  0.500000000000 -0.126326261857 -0.124254547408 -0.002071714449
       1  0.800000000000  0.000000000000  1.125000000000  0.625000000000 -0.128868528028 -0.126568756514 -0.002299771515
       1  0.800000000000  0.200000000000  1.125000000000  0.750000000000 -0.131410794200 -0.129308783645 -0.002102010555
       1  0.800000000000  0.400000000000  1.125000000000  0.875000000000 -0.133953060371 -0.132429868830 -0.001523191541
       1  0.800000000000  0.600000000000  1.125000000000  1.000000000000 -0.136495326542 -0.135885294647 -0.000610031895
       1  0.800000000000  0.800000000000  1.125000000000  1.125000000000 -0.139037592714 -0.139628216939  0.000590624226
       1  0.800000000000  1.000000000000  1.125000000000  1.250000000000 -0.141579858885 -0.143613165300  0.002033306415
       1  1.000000000000 -1.000000000000  1.250000000000  0.000000000000 -0.129063552413 -0.129063552413  0.000000000000
       1  1.000000000000 -0.800000000000  1.250000000000  0.125000000000 -0.131056280656 -0.129308783645 -0.001747497011
       1  1.000000000000 -0.600000000000  1.250000000000  0.250000000000 -0.133049008898 -0.130039975357 -0.003009033541
       1  1.000000000000 -0.400000000000  1.250000000000  0.375000000000 -0.135041737140 -0.131243893502 -0.003797843638
       1  1.000000000000 -0.200000000000  1.250000000000  0.500000000000 -0.137034465383 -0.132899353799 -0.004135111583
       1  1.000000000000  0.000000000000  1.250000000000  0.625000000000 -0.139027193625 -0.134978419060 -0.004048774565
       1  1.000000000000  0.200000000000  1.250000000000  0.750000000000 -0.141019921867 -0.137447875850 -0.003572046017
       1  1.000000000000  0.400000000000  1.250000000000  0.875000000000 -0.143012650110 -0.140270837967 -0.002741812142
       1  1.000000000000  0.600000000000  1.250000000000  1.000000000000 -0.145005378352 -0.143408332570 -0.001597045782
       1  1.000000000000  0.800000000000  1.250000000000  1.125000000000 -0.146998106594 -0.146820752019 -0.000177354575
       1  1.000000000000  1.000000000000  1.250000000000  1.250000000000 -0.148990834837 -0.150469091665  0.001478256829
       2 -1.000000000000 -1.000000000000  1.250000000000  0.000000000000 -0.129063552413 -0.129063552413  0.000000000000
       2 -1.000000000000 -0.800000000000  1.250000000000  0.125000000000 -0.131056280656 -0.129308783645 -0.001747497011
       2 -1.000000000000 -0.600000000000  1.250000000000  0.250000000000 -0.133049008898 -0.130039975357 -0.003009033541
       2 -1.000000000000 -0.400000000000  1.250000000000  0.375000000000 -0.135041737140 -0.131243893502 -0.003797843638
       2 -1.000000000000 -0.200000000000  1.250000000000  0.500000000000 -0.137034465383 -0.132899353799 -0.004135111583
       2 -1.000000000000  0.000000000000  1.250000000000  0.625000000000 -0.139027193625 -0.134978419060 -0.004048774565
       2 -1.000000000000  0.200000000000  1.250000000000  0.750000000000 -0.141019921867 -0.137447875850 -0.003572046017
