# elem xi1 xi2 x y psi_FEM psi_exact difference
1 -1.000000000000 -1.000000000000 0.000000000000 0.000000000000 0.000000000000 -0.000000000000 0.000000000000
1 -1.000000000000 -0.800000000000 0.000000000000 0.125000000000 -0.003456249769 -0.001233783963 -0.002222465806
1 -1.000000000000 -0.600000000000 0.000000000000 0.250000000000 -0.007808467930 -0.004824354118 -0.002984113813
1 -1.000000000000 -0.400000000000 0.000000000000 0.375000000000 -0.013056654483 -0.010470513868 -0.002586140615
1 -1.000000000000 -0.200000000000 0.000000000000 0.500000000000 -0.019200809427 -0.017757199605 -0.001443609822
1 -1.000000000000 -0.000000000000 0.000000000000 0.625000000000 -0.026240932763 -0.026240932763 0.000000000000
1 -1.000000000000 0.200000000000 0.000000000000 0.750000000000 -0.034177024491 -0.035514399211 0.001337374719
1 -1.000000000000 0.400000000000 0.000000000000 0.875000000000 -0.043009084611 -0.045240169401 0.002231084791
1 -1.000000000000 0.600000000000 0.000000000000 1.000000000000 -0.052737113122 -0.055158900038 0.002421786916
1 -1.000000000000 0.800000000000 0.000000000000 1.125000000000 -0.063361110025 -0.065082487550 0.001721377525
1 -1.000000000000 1.000000000000 0.000000000000 1.250000000000 -0.074881075319 -0.074881075319 0.000000000000
1 -0.800000000000 -1.000000000000 0.125000000000 0.000000000000 -0.017492464572 -0.018745752337 0.001253287765
1 -0.800000000000 -0.800000000000 0.125000000000 0.125000000000 -0.020311923317 -0.019722175281 -0.000589748036
1 -0.800000000000 -0.600000000000 0.125000000000 0.250000000000 -0.023958778467 -0.022581553723 -0.001377224744
1 -0.800000000000 -0.400000000000 0.125000000000 0.375000000000 -0.028433030023 -0.027130075774 -0.001302954249
1 -0.800000000000 -0.200000000000 0.125000000000 0.500000000000 -0.033734677983 -0.033090532494 -0.000644145490
1 -0.800000000000 -0.000000000000 0.125000000000 0.625000000000 -0.039863722350 -0.040151291589 0.000287569239
1 -0.800000000000 0.200000000000 0.125000000000 0.750000000000 -0.046820163121 -0.048008360564 0.001188197443
1 -0.800000000000 0.400000000000 0.125000000000 0.875000000000 -0.054604000298 -0.056392684001 0.001788683703
1 -0.800000000000 0.600000000000 0.125000000000 1.000000000000 -0.063215233880 -0.065082487550 0.001867253670
1 -0.800000000000 0.800000000000 0.125000000000 1.125000000000 -0.072653863868 -0.073904652375 0.001250788507
1 -0.800000000000 1.000000000000 0.125000000000 1.250000000000 -0.082919890261 -0.082729849358 -0.000190040903
1 -0.600000000000 -1.000000000000 0.250000000000 0.000000000000 -0.033965793737 -0.035514399211 0.001548605474
1 -0.600000000000 -0.800000000000 0.250000000000 0.125000000000 -0.036222348195 -0.036306221381 0.000083873186
1 -0.600000000000 -0.600000000000 0.250000000000 0.250000000000 -0.039241590802 -0.038635484396 -0.000606106406
1 -0.600000000000 -0.400000000000 0.250000000000 0.375000000000 -0.043023521558 -0.042372202381 -0.000651319177
1 -0.600000000000 -0.200000000000 0.250000000000 0.500000000000 -0.047568140464 -0.047325287945 -0.000242852519
1 -0.600000000000 -0.000000000000 0.250000000000 0.625000000000 -0.052875447520 -0.053271598816 0.000396151296
1 -0.600000000000 0.200000000000 0.250000000000 0.750000000000 -0.058945442724 -0.059983254156 0.001037811431
