t,norm,energy,x_avg,y_avg
0.113,1,0.999523,1.99255e-17,4.15266e-18
0.114,1,0.999523,-3.90106e-17,-1.22522e-18
0.115,1,0.999523,-4.88346e-17,-6.05191e-18
0.116,1,0.999523,-4.23886e-17,-1.10139e-17
0.117,1,0.999523,-1.00133e-17,-4.55823e-18
0.118,1,0.999523,1.54258e-17,2.64377e-18
0.119,1,0.999523,1.47248e-17,3.53049e-18
0.12,1,0.999523,-1.66688e-17,6.22342e-18
0.121,1,0.999523,3.43619e-17,2.08292e-17
0.122,1,0.999523,-1.74905e-17,4.41188e-18
0.123,1,0.999523,8.97797e-18,-1.60756e-18
0.124,1,0.999523,1.8344e-17,2.96868e-18
0.125,1,0.999523,1.39588e-17,-4.97931e-18
0.126,1,0.999523,-1.31129e-17,8.79207e-18
0.127,1,0.999523,1.26804e-17,-2.73727e-18
0.128,1,0.999523,1.33806e-17,5.0437e-18
0.129,1,0.999523,-5.14379e-18,-6.37285e-18
0.13,1,0.999523,-8.80129e-17,-1.66915e-18
0.131,1,0.999523,-2.78189e-17,4.64889e-18
0.132,1,0.999523,5.80091e-17,1.01941e-17
0.133,1,0.999523,6.03178e-17,1.39031e-17
0.134,1,0.999523,2.67087e-17,5.91713e-18
0.135,1,0.999523,-7.9834e-18,3.25884e-18
0.136,1,0.999523,1.49484e-17,-9.7196e-18
0.137,1,0.999523,-8.08098e-18,-1.25236e-17
0.138,1,0.999523,-3.34578e-17,-9.14696e-18
0.139,1,0.999523,-1.57453e-17,4.7487e-18
0.14,1,0.999523,-6.01401e-18,-4.29209e-18
0.141,1,0.999523,-4.28183e-17,-4.41687e-18
0.142,1,0.999523,-6.55425e-18,-1.64896e-18
0.143,1,0.999523,2.97747e-18,8.78722e-18
0.144,1,0.999523,-7.49609e-18,8.57892e-19
0.145,1,0.999523,-3.29312e-17,-3.52342e-18
0.146,1,0.999523,-3.64469e-17,6.63532e-18
0.147,1,0.999523,1.75048e-17,1.17731e-18
0.148,1,0.999523,1.98292e-17,7.83417e-18
0.149,1,0.999523,-2.34343e-17,-2.01323e-18
0.15,1,0.999523,4.66234e-18,-1.87868e-18
0.151,1,0.999523,-2.15073e-17,2.20789e-18
0.152,1,0.999523,-1.59111e-17,1.21127e-17
0.153,1,0.999523,-1.74499e-17,-2.9723e-18
0.154,1,0.999523,-2.91089e-17,-4.77205e-18
0.155,1,0.999523,-1.70369e-17,-3.86282e-18
0.156,1,0.999523,-9.02002e-18,4.47201e-18
0.157,1,0.999523,5.40378e-17,-7.79457e-18
0.158,1,0.999523,-1.01926e-17,-2.46987e-18
0.159,1,0.999523,4.55436e-17,9.05305e-19
0.16,1,0.999523,1.70624e-17,-4.83969e-18
