t,norm,energy,x_avg,y_avg
0.126,1,1.66523,0.467236,0.0590933
0.127,1,1.66523,0.467176,0.0595598
0.128,1,1.66523,0.467117,0.0600262
0.129,1,1.66523,0.467057,0.0604925
0.13,1,1.66523,0.466996,0.0609588
0.131,1,1.66523,0.466935,0.0614251
0.132,1,1.66523,0.466874,0.0618913
0.133,1,1.66523,0.466812,0.0623574
0.134,1,1.66523,0.466749,0.0628235
0.135,1,1.66523,0.466686,0.0632894
0.136,1,1.66523,0.466623,0.0637554
0.137,1,1.66523,0.466559,0.0642213
0.138,1,1.66523,0.466495,0.0646871
0.139,1,1.66523,0.46643,0.0651528
0.14,1,1.66523,0.466365,0.0656185
0.141,1,1.66523,0.466299,0.0660841
0.142,1,1.66523,0.466233,0.0665496
0.143,1,1.66523,0.466166,0.0670151
0.144,1,1.66523,0.466099,0.0674805
0.145,1,1.66523,0.466032,0.0679459
0.146,1,1.66523,0.465964,0.0684111
0.147,1,1.66523,0.465895,0.0688763
0.148,1,1.66523,0.465826,0.0693415
0.149,1,1.66523,0.465757,0.0698066
0.15,1,1.66523,0.465687,0.0702716
0.151,1,1.66523,0.465617,0.0707365
0.152,1,1.66523,0.465546,0.0712013
0.153,1,1.66523,0.465474,0.0716661
0.154,1,1.66523,0.465403,0.0721308
0.155,1,1.66523,0.465331,0.0725955
0.156,1,1.66523,0.465258,0.0730601
0.157,1,1.66523,0.465185,0.0735246
0.158,1,1.66523,0.465111,0.073989
0.159,1,1.66523,0.465037,0.0744533
0.16,1,1.66523,0.464963,0.0749176
0.161,1,1.66523,0.464888,0.0753818
0.162,1,1.66523,0.464812,0.0758459
0.163,1,1.66523,0.464736,0.07631
0.164,1,1.66523,0.46466,0.076774
0.165,1,1.66523,0.464583,0.0772379
0.166,1,1.66523,0.464506,0.0777017
0.167,1,1.66523,0.464428,0.0781654
0.168,1,1.66523,0.46435,0.0786291
0.169,1,1.66523,0.464271,0.0790927
0.17,1,1.66523,0.464192,0.0795562
0.171,1,1.66523,0.464112,0.0800196
0.172,1,1.66523,0.464032,0.080483
0.173,1,1.66523,0.463952,0.0809463
0.174,1,1.66523,0.463871,0.0814094
0.175,1,1.66523,0.463789,0.0818725
0.176,1,1.66523,0.463708,0.0823356
0.177,1,1.66523,0.463625,0.0827985
0.178,1,1.66523,0.463542,0.0832614
0.179,1,1.66523,0.463459,0.0837242
0.18,1,1.66523,0.463375,0.0841868
0.181,1,1.66523,0.463291,0.0846495
0.182,1,1.66523,0.463206,0.085112
0.183,1,1.66523,0.463121,0.0855744
0.184,1,1.66523,0.463036,0.0860368
0.185,1,1.66523,0.46295,0.086499
0.186,1,1.66523,0.462863,0.0869612
0.187,1,1.66523,0.462776,0.0874233
0.188,1,1.66523,0.462689,0.0878853
0.189,1,1.66523,0.462601,0.0883473
0.19,1,1.66523,0.462512,0.0888091
0.191,1,1.66523,0.462423,0.0892708
0.192,1,1.66523,0.462334,0.0897325
0.193,1,1.66523,0.462244,0.0901941
0.194,1,1.66523,0.462154,0.0906555
0.195,1,1.66523,0.462064,0.0911169
0.196,1,1.66523,0.461972,0.0915782
0.197,1,1.66523,0.461881,0.0920394
0.198,1,1.66523,0.461789,0.0925005
0.199,1,1.66523,0.461696,0.0929615
0.2,1,1.66523,0.461603,0.0934225
0.201,1,1.66523,0.46151,0.0938833
0.202,1,1.66523,0.461416,0.094344
0.203,1,1.66523,0.461322,0.0948047
0.204,1,1.66523,0.461227,0.0952652
0.205,1,1.66523,0.461131,0.0957257
0.206,1,1.66523,0.461036,0.0961861
0.207,1,1.66523,0.46094,0.0966463
0.208,1,1.66523,0.460843,0.0971065
0.209,1,1.66523,0.460746,0.0975666
0.21,1,1.66523,0.460648,0.0980265
0.211,1,1.66523,0.46055,0.0984864
0.212,1,1.66523,0.460452,0.0989462
0.213,1,1.66523,0.460353,0.0994059
0.214,1,1.66523,0.460253,0.0998654
0.215,1,1.66523,0.460154,0.100325
0.216,1,1.66523,0.460053,0.100784
0.217,1,1.66523,0.459952,0.101244
0.218,1,1.66523,0.459851,0.101703
0.219,1,1.66523,0.45975,0.102162
0.22,1,1.66523,0.459647,0.102621
0.221,1,1.66523,0.459545,0.10308
0.222,1,1.66523,0.459442,0.103538
0.223,1,1.66523,0.459338,0.103997
0.224,1,1.66523,0.459234,0.104456
0.225,1,1.66523,0.45913,0.104914
0.226,1,1.66523,0.459025,0.105372
0.227,1,1.66523,0.458919,0.105831
0.228,1,1.66523,0.458814,0.106289
0.229,1,1.66523,0.458707,0.106747
0.23,1,1.66523,0.458601,0.107205
0.231,1,1.66523,0.458493,0.107663
0.232,1,1.66523,0.458386,0.10812
0.233,1,1.66523,0.458278,0.108578
0.234,1,1.66523,0.458169,0.109035
0.235,1,1.66523,0.45806,0.109493
0.236,1,1.66523,0.457951,0.10995
0.237,1,1.66523,0.457841,0.110407
0.238,1,1.66523,0.45773,0.110864
0.239,1,1.66523,0.45762,0.111321
0.24,1,1.66523,0.457508,0.111778
0.241,1,1.66523,0.457397,0.112235
0.242,1,1.66523,0.457284,0.112691
0.243,1,1.66523,0.457172,0.113148
0.244,1,1.66523,0.457059,0.113604
0.245,1,1.66523,0.456945,0.114061
0.246,1,1.66523,0.456831,0.114517
0.247,1,1.66523,0.456717,0.114973
0.248,1,1.66523,0.456602,0.115429
0.249,1,1.66523,0.456486,0.115885
0.25,1,1.66523,0.45637,0.11634
0.251,1,1.66523,0.456254,0.116796
0.252,1,1.66523,0.456137,0.117251
0.253,1,1.66523,0.45602,0.117707
0.254,1,1.66523,0.455902,0.118162
0.255,1,1.66523,0.455784,0.118617
0.256,1,1.66523,0.455666,0.119072
0.257,1,1.66523,0.455547,0.119527
0.258,1,1.66523,0.455427,0.119982
0.259,1,1.66523,0.455307,0.120436
0.26,1,1.66523,0.455187,0.120891
0.261,1,1.66523,0.455066,0.121345
0.262,1,1.66523,0.454945,0.1218
0.263,1,1.66523,0.454823,0.122254
0.264,1,1.66523,0.454701,0.122708
0.265,1,1.66523,0.454578,0.123162
0.266,1,1.66523,0.454455,0.123615
0.267,1,1.66523,0.454332,0.124069
0.268,1,1.66523,0.454208,0.124523
0.269,1,1.66523,0.454083,0.124976
0.27,1,1.66523,0.453958,0.125429
0.271,1,1.66523,0.453833,0.125883
0.272,1,1.66523,0.453707,0.126336
0.273,1,1.66523,0.453581,0.126789
0.274,1,1.66523,0.453454,0.127241
0.275,1,1.66523,0.453327,0.127694
0.276,1,1.66523,0.453199,0.128146
0.277,1,1.66523,0.453071,0.128599
0.278,1,1.66523,0.452943,0.129051
0.279,1,1.66523,0.452814,0.129503
0.28,1,1.66523,0.452684,0.129955
0.281,1,1.66523,0.452554,0.130407
0.282,1,1.66523,0.452424,0.130859
0.283,1,1.66523,0.452293,0.131311
0.284,1,1.66523,0.452162,0.131762
0.285,1,1.66523,0.45203,0.132214
0.286,1,1.66523,0.451898,0.132665
0.287,1,1.66523,0.451766,0.133116
0.288,1,1.66523,0.451633,0.133567
0.289,1,1.66523,0.451499,0.134018
0.29,1,1.66523,0.451365,0.134468
0.291,1,1.66523,0.451231,0.134919
0.292,1,1.66523,0.451096,0.135369
0.293,1,1.66523,0.450961,0.13582
0.294,1,1.66523,0.450825,0.13627
0.295,1,1.66523,0.450689,0.13672
0.296,1,1.66523,0.450552,0.13717
0.297,1,1.66523,0.450415,0.137619
0.298,1,1.66523,0.450278,0.138069
0.299,1,1.66523,0.45014,0.138519
0.3,1,1.66523,0.450001,0.138968
0.301,1,1.66523,0.449862,0.139417
0.302,1,1.66523,0.449723,0.139866
0.303,1,1.66523,0.449583,0.140315
0.304,1,1.66523,0.449443,0.140764
0.305,1,1.66523,0.449302,0.141213
0.306,1,1.66523,0.449161,0.141661
0.307,1,1.66523,0.44902,0.142109
0.308,1,1.66523,0.448878,0.142558
0.309,1,1.66523,0.448735,0.143006
0.31,1,1.66523,0.448592,0.143454
0.311,1,1.66523,0.448449,0.143901
0.312,1,1.66523,0.448305,0.144349
0.313,1,1.66523,0.448161,0.144797
0.314,1,1.66523,0.448016,0.145244
0.315,1,1.66523,0.447871,0.145691
0.316,1,1.66523,0.447726,0.146138
0.317,1,1.66523,0.44758,0.146585
0.318,1,1.66523,0.447433,0.147032
0.319,1,1.66523,0.447286,0.147479
0.32,1,1.66523,0.447139,0.147925
