t,norm,energy,x_avg,y_avg
0.113,1,1.49855,0.701944,6.72066e-18
0.114,1,1.49855,0.701864,-3.72777e-18
0.115,1,1.49855,0.701784,-1.08908e-17
0.116,1,1.49855,0.701703,9.1193e-18
0.117,1,1.49855,0.701621,1.18332e-18
0.118,1,1.49855,0.701539,-3.09741e-18
0.119,1,1.49855,0.701455,5.07971e-19
0.12,1,1.49855,0.701372,-1.18557e-18
0.121,1,1.49855,0.701287,-1.20257e-17
0.122,1,1.49855,0.701202,1.08265e-18
0.123,1,1.49855,0.701116,-7.85586e-18
0.124,1,1.49855,0.701029,-7.2758e-20
0.125,1,1.49855,0.700942,4.46788e-18
0.126,1,1.49855,0.700853,-9.26994e-19
0.127,1,1.49855,0.700765,5.40828e-18
0.128,1,1.49855,0.700675,5.06084e-19
0.129,1,1.49855,0.700585,1.79503e-18
0.13,1,1.49855,0.700494,-4.97728e-18
0.131,1,1.49855,0.700403,-1.47146e-17
0.132,1,1.49855,0.70031,1.14681e-17
0.133,1,1.49855,0.700217,2.52094e-18
0.134,1,1.49855,0.700124,3.92925e-18
0.135,1,1.49855,0.700029,-3.7039e-18
0.136,1,1.49855,0.699934,-3.1943e-18
0.137,1,1.49855,0.699839,-6.35675e-18
0.138,1,1.49855,0.699742,-3.976e-18
0.139,1,1.49855,0.699645,1.00799e-17
0.14,1,1.49855,0.699547,7.48794e-18
0.141,1,1.49855,0.699449,-9.11504e-19
0.142,1,1.49855,0.699349,-6.38125e-18
0.143,1,1.49855,0.699249,7.67533e-18
0.144,1,1.49855,0.699149,-2.2691e-18
0.145,1,1.49855,0.699047,-2.42285e-18
0.146,1,1.49855,0.698945,9.96492e-18
0.147,1,1.49855,0.698843,1.97636e-21
0.148,1,1.49855,0.698739,3.84173e-18
0.149,1,1.49855,0.698635,-5.79585e-18
0.15,1,1.49855,0.69853,-8.81839e-18
0.151,1,1.49855,0.698425,1.17495e-18
0.152,1,1.49855,0.698319,-1.09124e-18
0.153,1,1.49855,0.698212,7.9377e-19
0.154,1,1.49855,0.698104,3.51604e-18
0.155,1,1.49855,0.697996,2.9856e-20
0.156,1,1.49855,0.697887,-6.76884e-18
0.157,1,1.49855,0.697777,-5.74545e-19
0.158,1,1.49855,0.697667,2.05982e-18
0.159,1,1.49855,0.697556,-8.77175e-18
0.16,1,1.49855,0.697444,4.0561e-18
0.161,1,1.49855,0.697331,1.54662e-18
0.162,1,1.49855,0.697218,-7.3417e-18
0.163,1,1.49855,0.697104,5.84012e-18
0.164,1,1.49855,0.69699,-6.58506e-18
0.165,1,1.49855,0.696875,-9.17928e-18
0.166,1,1.49855,0.696759,-2.83795e-18
0.167,1,1.49855,0.696642,8.12905e-18
0.168,1,1.49855,0.696525,-8.22122e-18
0.169,1,1.49855,0.696407,1.40562e-18
0.17,1,1.49855,0.696288,1.18908e-17
0.171,1,1.49855,0.696169,-7.19849e-18
0.172,1,1.49855,0.696049,-4.5272e-18
0.173,1,1.49855,0.695928,-1.04754e-17
0.174,1,1.49855,0.695806,-5.97952e-18
0.175,1,1.49855,0.695684,-3.01532e-18
0.176,1,1.49855,0.695561,-3.93687e-18
0.177,1,1.49855,0.695438,-7.09179e-18
0.178,1,1.49855,0.695313,6.12707e-18
0.179,1,1.49855,0.695189,-6.82724e-18
0.18,1,1.49855,0.695063,2.15325e-18
0.181,1,1.49855,0.694937,1.05307e-17
0.182,1,1.49855,0.69481,6.62561e-18
0.183,1,1.49855,0.694682,-1.20552e-17
0.184,1,1.49855,0.694553,-1.27443e-19
0.185,1,1.49855,0.694424,-6.79066e-18
0.186,1,1.49855,0.694295,-5.11752e-18
0.187,1,1.49855,0.694164,-5.21667e-18
0.188,1,1.49855,0.694033,-9.66754e-19
0.189,1,1.49855,0.693901,5.31901e-19
0.19,1,1.49855,0.693768,-1.33614e-18
0.191,1,1.49855,0.693635,1.18681e-19
0.192,1,1.49855,0.693501,8.26291e-18
0.193,1,1.49855,0.693367,-5.23367e-18
0.194,1,1.49855,0.693231,-4.63598e-18
0.195,1,1.49855,0.693095,-3.18586e-18
0.196,1,1.49855,0.692959,-2.84013e-18
0.197,1,1.49855,0.692821,1.09649e-17
0.198,1,1.49855,0.692683,-4.23958e-18
0.199,1,1.49855,0.692544,-1.80772e-18
0.2,1,1.49855,0.692405,-4.66904e-18
0.201,1,1.49855,0.692265,5.63714e-18
0.202,1,1.49855,0.692124,2.56184e-18
0.203,1,1.49855,0.691982,-2.8281e-18
0.204,1,1.49855,0.69184,-1.18307e-17
0.205,1,1.49855,0.691697,5.89075e-18
0.206,1,1.49855,0.691554,-5.72277e-18
0.207,1,1.49855,0.691409,4.79828e-19
0.208,1,1.49855,0.691264,-3.89312e-18
0.209,1,1.49855,0.691119,-9.68302e-18
0.21,1,1.49855,0.690972,5.01614e-18
0.211,1,1.49855,0.690825,-4.12727e-18
0.212,1,1.49855,0.690678,8.23978e-19
0.213,1,1.49855,0.690529,4.4875e-18
0.214,1,1.49855,0.69038,8.0216e-18
0.215,1,1.49855,0.69023,-1.12586e-17
0.216,1,1.49855,0.69008,6.82333e-18
0.217,1,1.49855,0.689929,7.79939e-18
0.218,1,1.49855,0.689777,-4.32879e-18
0.219,1,1.49855,0.689624,1.40277e-17
0.22,1,1.49855,0.689471,1.87429e-18
0.221,1,1.49855,0.689317,-4.41273e-18
0.222,1,1.49855,0.689163,-4.29363e-18
0.223,1,1.49855,0.689007,4.26672e-18
0.224,1,1.49855,0.688851,-3.5548e-18
0.225,1,1.49855,0.688695,-9.65905e-18
0.226,1,1.49855,0.688537,6.57029e-18
0.227,1,1.49855,0.688379,-1.22479e-17
0.228,1,1.49855,0.688221,-1.84148e-18
0.229,1,1.49855,0.688061,-4.45146e-18
0.23,1,1.49855,0.687901,2.51002e-18
0.231,1,1.49855,0.68774,-1.29316e-17
0.232,1,1.49855,0.687579,1.25453e-18
0.233,1,1.49855,0.687417,-1.48954e-18
0.234,1,1.49855,0.687254,-7.24953e-18
0.235,1,1.49855,0.68709,-9.87128e-18
0.236,1,1.49855,0.686926,-6.51298e-18
0.237,1,1.49855,0.686761,3.19359e-18
0.238,1,1.49855,0.686596,-7.68142e-19
0.239,1,1.49855,0.686429,1.53999e-18
0.24,1,1.49855,0.686262,1.58235e-18
0.241,1,1.49855,0.686095,-8.2236e-18
0.242,1,1.49855,0.685927,5.10533e-18
0.243,1,1.49855,0.685758,-8.91371e-19
0.244,1,1.49855,0.685588,-4.92014e-18
0.245,1,1.49855,0.685418,-2.60756e-18
0.246,1,1.49855,0.685247,7.58324e-18
0.247,1,1.49855,0.685075,-4.48087e-18
0.248,1,1.49855,0.684902,-1.09946e-18
0.249,1,1.49855,0.684729,9.61563e-19
0.25,1,1.49855,0.684556,-4.96393e-19
0.251,1,1.49855,0.684381,1.70249e-18
0.252,1,1.49855,0.684206,7.64706e-18
0.253,1,1.49855,0.68403,-3.50335e-18
0.254,1,1.49855,0.683854,-1.01169e-17
0.255,1,1.49855,0.683677,-1.30847e-17
0.256,1,1.49855,0.683499,-3.04593e-18
0.257,1,1.49855,0.68332,-5.70041e-18
0.258,1,1.49855,0.683141,-9.98633e-18
0.259,1,1.49855,0.682961,7.85884e-18
0.26,1,1.49855,0.68278,5.12968e-18
0.261,1,1.49855,0.682599,8.85512e-18
0.262,1,1.49855,0.682417,2.72013e-18
0.263,1,1.49855,0.682235,1.15402e-18
