t,min_u,max_u,mass,center_x,center_y,shape_error
0,1.3887943864964e-11,0.960789439152324,1.57079393714646,2.5,2.5,0
0.02,1.51407539950709e-11,0.9746852872511,1.57079393714646,2.51999850074695,2.51999850074695,6.32829426465144e-05
0.04,1.92405953738569e-11,0.985642479928808,1.57079393714646,2.5399970014939,2.5399970014939,0.00012656518945396
0.06,2.72502943330874e-11,0.993558610841395,1.57079393714646,2.55999550224085,2.55999550224085,0.000189846905080115
0.08,4.10743329433568e-11,0.998359136740652,1.57079393714646,2.5799940029878,2.5799940029878,0.000253128210246965
0.1,6.3674587908164e-11,0.999998534283987,1.57079393714646,2.59999250373475,2.59999250373475,0.000316409194524417
0.12,6.13053974196723e-11,0.998461011665517,1.57079393714646,2.6199910044817,2.6199910044817,0.00037968992692713
0.14,4.22928802640271e-11,0.993760759695303,1.57079393714646,2.63998950522865,2.63998950522865,0.000442970465175215
0.16,3.05588220409096e-11,0.985941736804757,1.57079393714646,2.65998800597561,2.65998800597561,0.000506250864364524
0.18,2.38967037252002e-11,0.975076992461389,1.57079393714646,2.67998650672256,2.67998650672256,0.000569531185750496
0.2,2.09427557842822e-11,0.961267543363226,1.57079393714646,2.69998500746951,2.69998500746951,0.000632811506373631
0.22,2.10469549531371e-11,0.974283852329971,1.57079393714646,2.71998350821646,2.71998350821646,0.000696091186110727
0.24,2.4226382401845e-11,0.985332681405773,1.57079393714646,2.73998200896341,2.73998200896341,0.000759371123137169
0.26,3.1195772742434e-11,0.993345311846745,1.57079393714646,2.75998050971036,2.75998050971036,0.00082265104647956
0.28,4.34789873645368e-11,0.998245723652154,1.57079393714646,2.77997901045731,2.77997901045731,0.000885930802844103
0.3,6.36144970931721e-11,0.99998683965132,1.57079393714646,2.79997751120426,2.79997751120426,0.000949210305618665
0.32,6.71291736597127e-11,0.998551271806425,1.57079393714646,2.81997601195121,2.81997601195121,0.00101248950703334
0.34,4.67006387504809e-11,0.993951608216543,1.57079393714646,2.83997451269816,2.83997451269816,0.00107576838330564
0.36,3.38739712531927e-11,0.986230234268473,1.57079393714646,2.85997301344511,2.85997301344511,0.00113904692748538
0.38,2.63872721503262e-11,0.975458691376233,1.57079393714646,2.87997151419206,2.87997151419206,0.00120232514720912
0.4,2.28067276837537e-11,0.961736586665466,1.57079393714646,2.89997001493901,2.89997001493901,0.00126560306598792
0.42,2.2387680033644e-11,0.973872911300268,1.57079393714646,2.91996851568596,2.91996851568596,0.00132888025830816
0.44,2.50186420766029e-11,0.985012465541696,1.57079393714646,2.93996701643292,2.93996701643291,0.00139215734753397
0.46,3.12423322585331e-11,0.993120872890073,1.57079393714646,2.95996551717987,2.95996551717987,0.00145543419002233
0.48,4.23567353823739e-11,0.998120655188416,1.57079393714646,2.97996401792682,2.97996401792682,0.00151871069050323
0.5,6.06085289056464e-11,0.999963194400144,1.57079393714646,2.99996251867377,2.99996251867377,0.00158198678491201
0.52,7.2414637464649e-11,0.998629513143754,1.57079393714646,3.01996101942072,3.01996101942072,0.00164526242967399
0.54,5.02872331184592e-11,0.994130597389336,1.57079393714646,3.03995952016767,3.03995952016767,0.00170853759532643
0.56,3.62374886502121e-11,0.986507253739674,1.57079393714646,3.05995802091462,3.05995802091462,0.00177181226318804
0.58,2.78684253323916e-11,0.975829503697298,1.57079393714646,3.07995652166157,3.07995652166157,0.00183508642433218
0.6,2.36281283521229e-11,0.962195527251681,1.57079393714646,3.09995502240852,3.09995502240852,0.0018983600805048
0.62,2.26552192772846e-11,0.973454119822131,1.57079393714646,3.11995352315547,3.11995352315547,0.00196163290688523
0.64,2.4708595012922e-11,0.984683597965066,1.57079393714646,3.13995202390242,3.13995202390242,0.00202490539353787
0.66,3.01745449987981e-11,0.992887169279501,1.57079393714646,3.15995052464937,3.15995052464937,0.00208817743491527
0.68,4.01533458564142e-11,0.997985916648614,1.57079393714646,3.17994902539632,3.17994902539632,0.00215144895632118
0.7,5.66367813842077e-11,0.999929694751517,1.57079393714646,3.19994752614327,3.19994752614327,0.00221471990366979
0.72,7.75111112400871e-11,0.998697944324423,1.57079393714646,3.21994602689022,3.21994602689022,0.00227799023681523
