t,min_u,max_u,mass,center_x,center_y,shape_error
0,1.3887943864964e-11,0.960789439152324,1.57079393714646,2.5,2.5,0
0.02,3.24261150029277e-11,0.95917371874739,1.57079393714646,2.51999855113103,2.51999855113103,0.0115013771204357
0.04,6.56830195648636e-11,0.954424025137713,1.57079393714646,2.53999710226205,2.53999710226205,0.0227181632797357
0.06,1.25615737184379e-10,0.946742461366877,1.57079393714646,2.55999565339308,2.55999565339308,0.0336616368761553
0.08,2.34095767737411e-10,0.936343373446098,1.57079393714646,2.5799942045241,2.5799942045241,0.0443424465294032
0.1,4.22013853567124e-10,0.923449351299943,1.57079393714646,2.59999275565513,2.59999275565513,0.0547706570345791
0.12,4.41347059277378e-10,0.908287610181242,1.57079393714646,2.61999130678616,2.61999130678616,0.0649557911500723
0.14,4.69866237987752e-10,0.891086762584893,1.57079393714646,2.63998985791718,2.63998985791718,0.0749068676723172
0.16,5.29183060236111e-10,0.87207398063722,1.57079393714646,2.65998840904821,2.65998840904821,0.0846324361927208
0.18,6.34553618709216e-10,0.851472540818804,1.57079393714646,2.67998696017923,2.67998696017923,0.094140608882984
0.2,8.11960694365587e-10,0.829499736502366,1.57079393714646,2.69998551131026,2.69998551131026,0.103439089612958
0.22,1.10532606068625e-09,0.827911778342063,1.57079393714646,2.71998406244129,2.71998406244129,0.112535200504833
0.24,1.58837225787887e-09,0.824474440963981,1.57079393714646,2.73998261357231,2.73998261357231,0.121435906937221
0.26,2.38376098009065e-09,0.818853308747735,1.57079393714646,2.75998116470334,2.75998116470334,0.130147839709793
0.28,3.69341026849225e-09,0.811183508955993,1.57079393714646,2.77997971583436,2.77997971583436,0.138677316019417
0.3,5.56854862092828e-09,0.801607467107906,1.57079393714646,2.79997826696539,2.79997826696539,0.147030358687675
0.32,5.79895767825593e-09,0.790272733833322,1.57079393714646,2.81997681809642,2.81997681809642,0.155212713932788
0.34,6.10637688043414e-09,0.777329980912198,1.57079393714646,2.83997536922744,2.83997536922744,0.163229867817491
0.36,6.7331669166304e-09,0.762931176259457,1.57079393714646,2.85997392035847,2.85997392035847,0.171087061490617
0.38,7.80967231234016e-09,0.747227942935364,1.57079393714646,2.87997247148949,2.87997247148949,0.178789305328055
0.4,9.54066664136933e-09,0.730370103250093,1.57079393714646,2.89997102262052,2.89997102262052,0.186341392068044
