# t b1 d1 e1 b2 d2 e2 b3 d3 e3 
0.00766667 0.00978514 -0.0456189 0.0241445 0.00915272 -0.176969 0.0904973 0.00813841 -0.378036 0.182762
0.00783333 0.0097775 -0.0460935 0.0241185 0.00912309 -0.178578 0.0901059 0.00807518 -0.38062 0.180976
0.008 0.00976978 -0.0465548 0.024092 0.00909319 -0.180126 0.0897074 0.00801153 -0.383043 0.179166
0.00816667 0.00976198 -0.0470031 0.0240649 0.00906304 -0.181615 0.0893019 0.0079475 -0.38531 0.177333
0.00833333 0.00975411 -0.0474387 0.0240373 0.00903265 -0.183047 0.0888897 0.0078831 -0.387423 0.175478
0.0085 0.00974617 -0.047862 0.0240091 0.00900203 -0.184421 0.0884709 0.00781836 -0.389385 0.173602
0.00866667 0.00973816 -0.0482733 0.0239805 0.00897118 -0.185741 0.0880459 0.0077533 -0.3912 0.171708
0.00883333 0.00973008 -0.0486728 0.0239514 0.00894011 -0.187006 0.0876147 0.00768796 -0.392872 0.169795
0.009 0.00972193 -0.0490608 0.0239218 0.00890884 -0.188218 0.0871777 0.00762234 -0.394403 0.167867
0.00916667 0.00971373 -0.0494376 0.0238917 0.00887738 -0.189379 0.0867349 0.00755649 -0.395797 0.165923
0.00933333 0.00970546 -0.0498035 0.0238611 0.00884572 -0.19049 0.0862867 0.00749041 -0.397057 0.163966
0.0095 0.00969712 -0.0501588 0.0238301 0.00881388 -0.191551 0.0858332 0.00742414 -0.398185 0.161996
0.00966667 0.00968874 -0.0505037 0.0237987 0.00878187 -0.192564 0.0853747 0.00735768 -0.399186 0.160014
0.00983333 0.00968029 -0.0508384 0.0237668 0.00874969 -0.19353 0.0849112 0.00729108 -0.400061 0.158023
0.01 0.00967179 -0.0511633 0.0237345 0.00871736 -0.19445 0.0844432 0.00722433 -0.400814 0.156023
0.0101667 0.00966324 -0.0514785 0.0237018 0.00868487 -0.195325 0.0839706 0.00715747 -0.401448 0.154016
0.0103333 0.00965463 -0.0517843 0.0236687 0.00865225 -0.196157 0.0834938 0.00709051 -0.401965 0.152002
0.0105 0.00964597 -0.0520809 0.0236352 0.00861949 -0.196945 0.0830129 0.00702348 -0.402369 0.149983
0.0106667 0.00963727 -0.0523685 0.0236013 0.0085866 -0.197692 0.0825282 0.00695639 -0.402662 0.14796
0.0108333 0.00962852 -0.0526475 0.023567 0.00855359 -0.198397 0.0820397 0.00688926 -0.402848 0.145934
0.011 0.00961972 -0.0529178 0.0235323 0.00852047 -0.199063 0.0815478 0.00682211 -0.402927 0.143906
0.0111667 0.00961088 -0.0531799 0.0234973 0.00848724 -0.19969 0.0810525 0.00675495 -0.402904 0.141877
0.0113333 0.00960199 -0.0534339 0.023462 0.0084539 -0.200279 0.0805542 0.00668781 -0.402781 0.139848
0.0115 0.00959307 -0.0536799 0.0234263 0.00842048 -0.20083 0.0800529 0.00662069 -0.402561 0.137821
0.0116667 0.0095841 -0.0539182 0.0233903 0.00838696 -0.201346 0.0795488 0.00655362 -0.402245 0.135796
0.0118333 0.00957509 -0.054149 0.0233539 0.00835336 -0.201826 0.0790421 0.00648661 -0.401837 0.133774
0.012 0.00956605 -0.0543725 0.0233173 0.00831969 -0.202271 0.078533 0.00641968 -0.401338 0.131756
0.0121667 0.00955697 -0.0545887 0.0232803 0.00828594 -0.202683 0.0780217 0.00635283 -0.400752 0.129744
0.0123333 0.00954785 -0.054798 0.0232431 0.00825212 -0.203061 0.0775083 0.00628609 -0.400081 0.127737
0.0125 0.0095387 -0.0550005 0.0232056 0.00821825 -0.203408 0.0769929 0.00621947 -0.399327 0.125736
0.0126667 0.00952952 -0.0551963 0.0231677 0.00818432 -0.203723 0.0764758 0.00615298 -0.398492 0.123744
0.0128333 0.00952031 -0.0553856 0.0231297 0.00815034 -0.204008 0.0759571 0.00608664 -0.397578 0.121759
0.013 0.00951106 -0.0555686 0.0230913 0.00811632 -0.204262 0.0754369 0.00602046 -0.396589 0.119784
0.0131667 0.00950178 -0.0557454 0.0230527 0.00808226 -0.204488 0.0749155 0.00595444 -0.395525 0.117818
0.0133333 0.00949248 -0.0559162 0.0230139 0.00804816 -0.204685 0.0743929 0.00588861 -0.394389 0.115864
0.0135 0.00948314 -0.0560811 0.0229748 0.00801403 -0.204854 0.0738692 0.00582298 -0.393184 0.11392
0.0136667 0.00947378 -0.0562402 0.0229355 0.00797987 -0.204997 0.0733448 0.00575755 -0.39191 0.111988
0.0138333 0.0094644 -0.0563938 0.022896 0.0079457 -0.205113 0.0728195 0.00569234 -0.390572 0.110068
0.014 0.00945499 -0.0565419 0.0228562 0.0079115 -0.205203 0.0722937 0.00562736 -0.389169 0.108162
0.0141667 0.00944555 -0.0566847 0.0228162 0.00787729 -0.205268 0.0717674 0.00556262 -0.387704 0.106269
0.0143333 0.00943609 -0.0568223 0.0227761 0.00784308 -0.205309 0.0712408 0.00549813 -0.38618 0.104391
0.0145 0.00942661 -0.0569549 0.0227357 0.00780886 -0.205326 0.070714 0.00543389 -0.384598 0.102527
0.0146667 0.00941711 -0.0570825 0.0226952 0.00777464 -0.205319 0.0701871 0.00536993 -0.38296 0.100679
0.0148333 0.00940758 -0.0572052 0.0226545 0.00774042 -0.20529 0.0696602 0.00530624 -0.381268 0.098846
0.015 0.00939804 -0.0573233 0.0226135 0.00770621 -0.205239 0.0691335 0.00524284 -0.379523 0.0970294
0.0151667 0.00938847 -0.0574368 0.0225725 0.00767201 -0.205167 0.068607 0.00517973 -0.377727 0.0952294
0.0153333 0.00937889 -0.0575459 0.0225312 0.00763782 -0.205073 0.0680809 0.00511693 -0.375883 0.0934463
0.0155 0.00936929 -0.0576506 0.0224898 0.00760365 -0.204959 0.0675553 0.00505444 -0.373991 0.0916807
0.0156667 0.00935968 -0.057751 0.0224483 0.0075695 -0.204825 0.0670303 0.00499227 -0.372054 0.0899327
0.0158333 0.00935004 -0.0578473 0.0224066 0.00753537 -0.204672 0.0665059 0.00493042 -0.370073 0.0882028
0.016 0.00934039 -0.0579395 0.0223648 0.00750127 -0.2045 0.0659823 0.00486891 -0.368049 0.0864913
0.0161667 0.00933073 -0.0580278 0.0223228 0.00746721 -0.20431 0.0654597 0.00480774 -0.365985 0.0847985
0.0163333 0.00932105 -0.0581122 0.0222807 0.00743317 -0.204102 0.0649379 0.00474691 -0.363881 0.0831245
0.0165 0.00931136 -0.0581929 0.0222385 0.00739917 -0.203876 0.0644173 0.00468644 -0.36174 0.0814698
0.0166667 0.00930165 -0.05827 0.0221962 0.00736521 -0.203633 0.0638978 0.00462633 -0.359563 0.0798345
0.0168333 0.00929193 -0.0583434 0.0221538 0.00733129 -0.203374 0.0633795 0.00456659 -0.357351 0.0782188
0.017 0.0092822 -0.0584134 0.0221112 0.00729742 -0.203099 0.0628626 0.00450722 -0.355106 0.0766229
0.0171667 0.00927246 -0.05848 0.0220686 0.00726359 -0.202808 0.062347 0.00444822 -0.352828 0.075047
0.0173333 0.00926271 -0.0585433 0.0220258 0.00722982 -0.202502 0.061833 0.00438961 -0.35052 0.0734912
0.0175 0.00925295 -0.0586033 0.021983 0.00719609 -0.202182 0.0613204 0.00433138 -0.348184 0.0719558
0.0176667 0.00924318 -0.0586602 0.0219401 0.00716242 -0.201847 0.0608095 0.00427355 -0.345819 0.0704407
0.0178333 0.0092334 -0.058714 0.021897 0.00712881 -0.201498 0.0603003 0.00421611 -0.343427 0.0689461
0.018 0.00922361 -0.0587649 0.021854 0.00709526 -0.201136 0.0597928 0.00415907 -0.341011 0.0674722
0.0181667 0.00921381 -0.0588128 0.0218108 0.00706177 -0.20076 0.0592872 0.00410244 -0.33857 0.0660189
0.0183333 0.009204 -0.0588579 0.0217676 0.00702834 -0.200372 0.0587835 0.00404621 -0.336107 0.0645863
0.0185 0.00919419 -0.0589001 0.0217242 0.00699498 -0.199971 0.0582817 0.0039904 -0.333622 0.0631745
0.0186667 0.00918437 -0.0589397 0.0216809 0.00696168 -0.199558 0.0577819 0.00393501 -0.331116 0.0617835
0.0188333 0.00917454 -0.0589767 0.0216375 0.00692846 -0.199133 0.0572841 0.00388003 -0.328591 0.0604133
0.019 0.00916471 -0.0590111 0.021594 0.0068953 -0.198697 0.0567885 0.00382548 -0.326048 0.0590639
0.0191667 0.00915487 -0.0590429 0.0215505 0.00686222 -0.19825 0.0562951 0.00377135 -0.323488 0.0577353
0.0193333 0.00914503 -0.0590723 0.0215069 0.00682922 -0.197793 0.0558038 0.00371765 -0.320912 0.0564275
0.0195 0.00913518 -0.0590994 0.0214633 0.00679629 -0.197324 0.0553149 0.00366438 -0.318321 0.0551405
0.0196667 0.00912533 -0.0591241 0.0214196 0.00676345 -0.196846 0.0548282 0.00361154 -0.315716 0.0538741
0.0198333 0.00911547 -0.0591465 0.0213759 0.00673068 -0.196358 0.0543439 0.00355914 -0.313098 0.0526284
0.02 0.00910561 -0.0591667 0.0213322 0.00669799 -0.195861 0.053862 0.00350717 -0.310468 0.0514033
0.0201667 0.00909575 -0.0591848 0.0212884 0.00666539 -0.195354 0.0533826 0.00345565 -0.307827 0.0501987
0.0203333 0.00908588 -0.0592008 0.0212446 0.00663287 -0.194839 0.0529056 0.00340457 -0.305176 0.0490144
0.0205 0.00907602 -0.0592147 0.0212008 0.00660044 -0.194315 0.0524311 0.00335392 -0.302516 0.0478505
0.0206667 0.00906615 -0.0592266 0.021157 0.0065681 -0.193783 0.0519592 0.00330373 -0.299847 0.0467068
0.0208333 0.00905627 -0.0592366 0.0211132 0.00653585 -0.193242 0.0514898 0.00325397 -0.297171 0.0455831
0.021 0.0090464 -0.0592447 0.0210693 0.00650369 -0.192694 0.0510231 0.00320467 -0.294489 0.0444794
0.0211667 0.00903653 -0.0592509 0.0210254 0.00647162 -0.192139 0.050559 0.00315581 -0.291801 0.0433956
0.0213333 0.00902665 -0.0592554 0.0209816 0.00643964 -0.191576 0.0500976 0.0031074 -0.289108 0.0423314
0.0215 0.00901677 -0.059258 0.0209377 0.00640776 -0.191006 0.0496389 0.00305944 -0.286411 0.0412868
0.0216667 0.0090069 -0.059259 0.0208938 0.00637597 -0.190429 0.0491829 0.00301193 -0.283711 0.0402616
0.0218333 0.00899702 -0.0592583 0.0208499 0.00634428 -0.189846 0.0487296 0.00296487 -0.281008 0.0392556
0.022 0.00898715 -0.0592559 0.020806 0.00631269 -0.189256 0.0482792 0.00291826 -0.278304 0.0382688
0.0221667 0.00897727 -0.059252 0.0207621 0.0062812 -0.18866 0.0478315 0.0028721 -0.275598 0.0373008
0.0223333 0.00896739 -0.0592465 0.0207182 0.0062498 -0.188059 0.0473866 0.0028264 -0.272892 0.0363515
0.0225 0.00895752 -0.0592395 0.0206743 0.00621851 -0.187452 0.0469446 0.00278114 -0.270187 0.0354208
0.0226667 0.00894765 -0.0592311 0.0206305 0.00618732 -0.186839 0.0465054 0.00273633 -0.267482 0.0345084
0.0228333 0.00893778 -0.0592212 0.0205866 0.00615623 -0.186221 0.0460691 0.00269198 -0.264779 0.0336142
0.023 0.00892791 -0.0592099 0.0205428 0.00612525 -0.185598 0.0456357 0.00264807 -0.262078 0.032738
0.0231667 0.00891804 -0.0591973 0.020499 0.00609437 -0.18497 0.0452051 0.00260462 -0.25938 0.0318796
0.0233333 0.00890818 -0.0591834 0.0204552 0.00606359 -0.184338 0.0447775 0.00256161 -0.256686 0.0310388
0.0235 0.00889831 -0.0591681 0.0204114 0.00603292 -0.183701 0.0443528 0.00251906 -0.253996 0.0302153
0.0236667 0.00888845 -0.0591516 0.0203676 0.00600236 -0.18306 0.043931 0.00247695 -0.25131 0.029409
0.0238333 0.0088786 -0.0591339 0.0203239 0.0059719 -0.182414 0.0435122 0.00243529 -0.248629 0.0286197
0.024 0.00886874 -0.059115 0.0202802 0.00594155 -0.181765 0.0430963 0.00239407 -0.245955 0.0278471
0.0241667 0.00885889 -0.0590949 0.0202365 0.00591131 -0.181112 0.0426833 0.0023533 -0.243286 0.0270911
0.0243333 0.00884904 -0.0590737 0.0201928 0.00588118 -0.180456 0.0422734 0.00231298 -0.240624 0.0263514
0.0245 0.0088392 -0.0590513 0.0201492 0.00585116 -0.179796 0.0418663 0.00227309 -0.23797 0.0256277
0.0246667 0.00882936 -0.0590279 0.0201056 0.00582125 -0.179133 0.0414623 0.00223365 -0.235323 0.02492
0.0248333 0.00881952 -0.0590035 0.0200621 0.00579145 -0.178466 0.0410612 0.00219465 -0.232685 0.0242279
0.025 0.00880969 -0.058978 0.0200186 0.00576176 -0.177797 0.0406632 0.00215609 -0.230055 0.0235512
0.0251667 0.00879986 -0.0589516 0.0199751 0.00573218 -0.177125 0.040268 0.00211797 -0.227434 0.0228897
0.0253333 0.00879004 -0.0589242 0.0199316 0.00570272 -0.17645 0.0398759 0.00208028 -0.224823 0.0222432
0.0255 0.00878022 -0.0588958 0.0198882 0.00567337 -0.175773 0.0394868 0.00204303 -0.222222 0.0216115
0.0256667 0.00877041 -0.0588665 0.0198449 0.00564413 -0.175093 0.0391006 0.00200621 -0.219631 0.0209943
0.0258333 0.0087606 -0.0588363 0.0198016 0.005615 -0.174411 0.0387174 0.00196982 -0.21705 0.0203914
0.026 0.0087508 -0.0588053 0.0197583 0.00558599 -0.173728 0.0383372 0.00193386 -0.214481 0.0198026
0.0261667 0.008741 -0.0587734 0.0197151 0.00555709 -0.173042 0.03796 0.00189832 -0.211923 0.0192277
0.0263333 0.00873121 -0.0587407 0.0196719 0.00552831 -0.172354 0.0375857 0.00186322 -0.209378 0.0186664
0.0265 0.00872142 -0.0587072 0.0196288 0.00549964 -0.171664 0.0372145 0.00182853 -0.206844 0.0181185
0.0266667 0.00871164 -0.0586729 0.0195857 0.00547109 -0.170973 0.0368461 0.00179427 -0.204322 0.0175838
0.0268333 0.00870186 -0.0586378 0.0195427 0.00544265 -0.17028 0.0364808 0.00176042 -0.201814 0.017062
0.027 0.00869209 -0.058602 0.0194997 0.00541433 -0.169587 0.0361184 0.001727 -0.199318 0.0165529
0.0271667 0.00868233 -0.0585655 0.0194568 0.00538612 -0.168891 0.0357589 0.00169398 -0.196836 0.0160564
0.0273333 0.00867257 -0.0585283 0.0194139 0.00535803 -0.168195 0.0354024 0.00166138 -0.194368 0.0155722
0.0275 0.00866282 -0.0584904 0.0193711 0.00533006 -0.167497 0.0350488 0.0016292 -0.191913 0.0151
0.0276667 0.00865307 -0.0584518 0.0193283 0.0053022 -0.166799 0.0346981 0.00159741 -0.189473 0.0146397
0.0278333 0.00864333 -0.0584126 0.0192856 0.00527446 -0.1661 0.0343504 0.00156604 -0.187047 0.014191
0.028 0.0086336 -0.0583727 0.0192429 0.00524683 -0.1654 0.0340056 0.00153506 -0.184636 0.0137537
0.0281667 0.00862388 -0.0583323 0.0192004 0.00521932 -0.164699 0.0336636 0.00150449 -0.18224 0.0133276
0.0283333 0.00861416 -0.0582912 0.0191578 0.00519193 -0.163998 0.0333246 0.00147432 -0.179859 0.0129126
0.0285 0.00860445 -0.0582496 0.0191154 0.00516466 -0.163296 0.0329884 0.00144454 -0.177493 0.0125082
